item,context,effect_type,effect,generation_start,generation_end,notes
maranga-berry,held,stat-boost,Raises Special Defense by one stage when hit by a special move; consumed. Raises by two stages if the holder has Ripen.,6,,
marble,passive,sell-only,Can only be sold for money.,7,,
marill-ball,field,passive,Can be brought out during a picnic to be kicked around by the player and their party Pokémon.,9,,
mark-charm,passive,encounter-modifier,"Triples the chance for symbol encounters to generate with a mark while in the Bag, excluding wanderers and Poké Portal News event mass outbreaks.",9,,
mark-charm,passive,encounter-modifier,Triples the chance for wild Pokémon to generate with a mark while in the Bag.,8,8,
marmalade,field,crafting,Used as an ingredient when making sandwiches.,9,,
marsh-balm,battle,story,Calms frenzied Hisuian Lilligant during Mission 8 and post-game rematches.,8,,
marsh-balm,field,story,Used during Azelf's trial in Mission 15 to obtain Azelf's Fang.,8,,
marshadium-z--held,held,z-move-upgrade,Upgrades Marshadow's Spectral Thief to Soul-Stealing 7-Star Strike.,7,,Unaffected by Embargo or Klutz; cannot be removed by Trick or Fling.
master-ball,battle,capture,Guaranteed capture of wild Pokémon,1,,Fails only in special scripted encounters
masterpiece-teacup,field,evolution-trigger,Evolves Artisan Form Poltchageist into Masterpiece Form Sinistcha,9,,Consumes the item upon use
mawilite,held,evolution-trigger,Allows Mawile to Mega Evolve into Mega Mawile,6,,Requires a Key Stone
max-elixir,field,healing,Fully restores PP of all moves,1,,
max-ether,field,pp-restore,Fully restores PP of one selected move,1,,
max-honey,field,healing,Revives a fainted Pokémon and restores all HP,8,,
max-honey,passive,special,Required ingredient for Max Soup to give or remove Urshifu's Gigantamax Factor,8,,
max-lure,field,encounter-rate,Increases encounter rate of rarer wild Pokémon for 250 steps and raises their level by 1 above the area's normal maximum.,7,,
max-mushrooms,battle,stat-boost,"Raises Attack, Defense, Special Attack, Special Defense, and Speed by one stage each",8,,
max-mushrooms,field,crafting,Three clusters can be exchanged for Max Soup to grant or remove the Gigantamax Factor; Urshifu requires Max Honey,8,,
max-potion,field,healing,Restores HP to full.,1,,
max-repel,field,encounter-prevention,Prevents lower-level wild Pokémon encounters for 250 steps,1,,
max-revive,field,healing,Revives a fainted Pokémon and restores HP to full,1,,
mayonnaise,passive,sandwich-modifier,"Adds 8 Sweet Taste, 20 Sour Taste, -3 Egg Power, 12 Exp. Power, 21 Raid Power, 2 Normal Type Power, and 2 Fighting Type Power to sandwiches.",9,,
meadow-plate,held,form-change,Changes Arceus to Grass type,4,,
meadow-plate,held,type-boost,Boosts Grass-type moves by 20%,4,,
mech-mail,held,passive,Allows a Pokémon to hold a customizable written message.,3,3,
medal-box,field,passive,Allows the player to collect Medals and view obtained Medals from the Bag.,5,,
medichamite,held,evolution-trigger,Allows Medicham to Mega Evolve into Mega Medicham,6,,Requires Key Stone
medicinal-leek,passive,crafting-material,Used to craft Potion (1) and Revive (2).,8,,
mega-bracelet,battle,evolution-trigger,Allows Mega Evolution of one Pokémon per battle if it holds the appropriate Mega Stone.,6,,
mega-ring,battle,evolution-trigger,Allows Mega Evolution of one Pokémon per battle if it holds the appropriate Mega Stone.,6,,
mega-shard,passive,exchange-currency,"Can be exchanged for Mega Stones, Exp. Candies, Power items, TMs, and Feathers.",9,,
meganiumite,held,evolution-trigger,Allows Meganium to Mega Evolve into Mega Meganium during battle,9,,Requires the Trainer to have a Key Stone
member-card,passive,event-unlock,Grants access to the Harbor Inn and Newmoon Island to encounter Darkrai.,4,,Requires Lunar Wing obtained from Cresselia.
mental-herb,held,status-cure,Cures infatuation,3,4,
mental-herb,held,status-cure,"Cures infatuation, Taunt, Encore, Torment, Disable, and Heal Block",5,,
meowsticite,battle,evolution-trigger,Allows Meowstic to Mega Evolve into Mega Meowstic,9,,Requires the Trainer to have a Key Stone
mesprits-plume,passive,crafting,Required material to forge the Red Chain,8,,
metagrossite,held,evolution-trigger,Allows Metagross to Mega Evolve into Mega Metagross,6,,Requires a Key Stone
metal-alloy,field,evolution-trigger,Evolves Duraludon into Archaludon,9,,Item is consumed on use
metal-coat,field,evolution-trigger,Evolves Onix and Scyther when traded or used,2,,
metal-coat,held,type-boost,"Boosts Steel-type moves by 10% (Gen II–III), 20% (Gen IV onward)",2,,
metal-powder,held,stat-boost,Increases Ditto's Defense (and Special Defense in Generation II),2,2,Applies even when transformed in Generation II
metal-powder,held,stat-boost,Doubles Ditto's Defense,3,,Does not work when Ditto is transformed
meteorite,field,exchange,Can be exchanged with Professor Cozmo for TM27 (Return),3,3,"Ruby, Sapphire, and Emerald only"
meteorite,field,evolution-trigger,Fed to Rayquaza to enable Mega Evolution,6,6,Omega Ruby and Alpha Sapphire only; required before any Rayquaza can Mega Evolve
meteorite,field,form-change,Used on Deoxys to switch between any of its forms,9,,Scarlet and Violet
meteorite-shard,passive,story,Key item used during the Delta Episode to help divert an incoming asteroid.,6,,
metronome,held,type-boost,Boosts power of consecutively used moves up to 100%,4,,10% per turn in Gen IV; 20% per turn from Gen V onward
mewnium-z--held,held,z-move,Upgrades Mew's Psychic into the Z-Move Genesis Supernova,7,,Only usable by Mew or a Pokémon transformed into Mew.
mewtwonite-x,held,evolution-trigger,Allows Mewtwo to Mega Evolve into Mega Mewtwo X,6,,Requires Key Stone
mewtwonite-y,held,evolution-trigger,Enables Mega Evolution into Mega Mewtwo Y,6,,Requires a Key Stone
micle-berry,held,stat-boost,Raises accuracy of next move by 1.2× when HP is low,4,,Activates at 1/4 HP or 1/2 HP with Gluttony
mighty-candy,field,stat-boost,Increases Attack by 1 AV up to a maximum of 50 AVs.,7,,
mighty-candy-l,field,stat-boost,"Increases Attack by 1 AV when used on a Pokémon Lv. 30 or higher, up to 100 AVs.",7,,
mighty-candy-xl,field,stat-boost,"Increases Attack by 1 AV for Pokémon Lv. 60 or higher, up to 200 AVs.",7,,
mild-mint,field,stat-modifier,"Changes the effect of a Pokémon’s Nature to Mild: Special Attack increases, Defense decreases.",8,,
mimikium-z--held,held,evolution-trigger,Upgrades Mimikyu's Play Rough into the Z-Move Let's Snuggle Forever.,7,,Unaffected by Embargo or Klutz; cannot be removed by Trick or Fling.
mind-plate,held,type-boost,Boosts Psychic-type moves by 20%,4,,
mind-plate,held,type-change,Changes Arceus to Psychic type,4,,Via the Multitype Ability
mint-berry,field,status-healing,Cures sleep when used from the Bag; item is consumed.,2,2,
mint-berry,held,status-healing,Cures sleep when the holder is asleep; item is consumed.,2,2,
mint-chairs,passive,decorative,Decorates the player's picnic with mint-colored chairs.,9,,
mint-tablecloth,field,cosmetic,Decorates the player's picnic.,9,,
miracle-seed,held,type-boost,Grass-type moves x1.2,4,,
miracle-seed,held,type-boost,Grass-type moves x1.1,2,3,
miracleberry,field,status-healing,Cures all non-volatile status conditions and confusion when used from the Bag.,2,2,
miracleberry,held,status-healing,Cures any non-volatile status condition and confusion upon activation.,2,2,
mirage-mail,held,passive,Allows a written message to be stored and traded with the Pokémon holding it.,2,2,
miraidons-poke-ball,passive,story,Houses Miraidon and sets its met date to when the item is obtained.,9,,
mirror-herb,battle,stat-boost,"Copies all stat increases gained by the opponent once, then is consumed.",9,,
mirror-herb,field,move-learning,Allows a Pokémon to learn an Egg Move during a picnic if it has an empty move slot.,9,,Item is not consumed.
misty-seed,held,stat-boost,+1 Special Defense stage when Misty Terrain is active,7,,
mixed-mushrooms,field,crafting,Used as an ingredient when cooking curry.,8,,
modest-mint,field,stat-modifier,"Applies Modest Nature effects (↑ Special Attack, ↓ Attack)",8,,
moltres-treat,field,encounter-trigger,Allows the player to encounter and battle Moltres at Asado Desert.,9,,Showing the item to Snacksworth provides a hint to Moltres's location.
monstrous-chairs,passive,cosmetic,Decorates the player's picnic with a monstrous-themed chair set.,9,,
monstrous-tablecloth,passive,cosmetic,Decorates the player's picnic.,9,,
moomoo-cheese,field,crafting,Used as an ingredient when making curry.,8,,
moomoo-milk,field,healing,Restores 100 HP,2,,
moon-ball,battle,catch-rate-boost,4× catch rate on Pokémon that evolve using a Moon Stone,4,,Ultra Beasts instead receive a reduced modifier.
moon-flute,field,evolution-trigger,Triggers Cosmog's evolution when played with the Sun Flute at the appropriate altar.,7,,
moon-stone,field,evolution-trigger,Evolves specific Pokémon when used,1,,
morph-mail,held,passive,Allows the holder to carry a written message that can be traded to other games of the same generation.,2,2,Cannot be stolen by Thief.
mosaic-mail,held,message-storage,Allows a Pokémon to hold a written message using the easy chat system and trade it to other Generation IV games.,4,4,"Cannot be stolen by Covet or Thief; causes Fling, Trick, and Switcheroo to fail."
mountain-balm,battle,status,Calms the frenzied Hisuian Electrode when thrown.,8,,Usable during Mission 11 and post-game rematches.
muscle-band,held,type-boost,Boosts physical move power by 10%,4,,Multiplier approximated as 4505/4096 from Generation V onward
muscle-wing,field,stat-boost,+1 Attack EV,5,,Also slightly increases friendship.
muscle-mochi,field,stat-boost,Increases the target Pokémon’s Attack EVs by 10.,9,,
mushroom-cake,field,lure,Attracts certain Pokémon when thrown,8,,Attracts a wide variety of monstrous and dragon-like Pokémon.
music-mail,held,passive,"Allows a Pokémon to hold a written message that can be viewed, traded, and printed.",2,2,Prevents the Pokémon from being deposited in the PC or Day Care while held.
mustard,passive,sandwich-modifier,"Adds Sweet Taste +4, Salty Taste +8, Sour Taste +8, Salt Taste +16; Egg Power -3, Exp. Power +12, Raid Power +21, Ground Type Power +2, Rock Type Power +2.",9,,
mysterious-balm,battle,special,Can be thrown at Arceus during the battle against it.,8,,Only usable during the Arceus battle and its rematches.
mysterious-shard-l,passive,exchange,Can be exchanged for a Slate at Ramanas Park.,8,,
mysterious-shard-s,field,exchange,Three Mysterious Shards S can be exchanged for a Slate at Ramanas Park.,8,,
mystery-berry,field,pp-restore,Restores 5 PP to one move when used from the Bag.,2,2,
mystery-berry,held,pp-restore,Restores 5 PP to a move when it runs out of PP.,2,2,
mystic-ticket,field,story,Allows travel to Navel Rock where Ho-Oh and Lugia can be encountered.,3,3,
mystic-water,held,type-boost,Boosts Water-type move power by 10%,2,3,
mystic-water,held,type-boost,Boosts Water-type move power by 20%,4,,
mythical-pecha-berry,field,story-unlock,"Grants access to The Hidden Treasure of Area Zero epilogue, Mochi Mayhem, in Kitakami.",9,,
n-lunarizer--merge,field,evolution-trigger,Fuses Necrozma with Lunala into Dawn Wings Necrozma or separates them,7,,
n-solarizer--merge,field,evolution-trigger,"Fuses Necrozma with Solgaleo to form Dusk Mane Necrozma, or separates them",7,,
naive-mint,field,stat-boost,"Changes nature effect to Naive (Speed up, Special Defense down)",8,,
nanab-berry,field,calming,Reduces wild Pokémon movement during capture,7,7,"Only in Let's Go, Pikachu!/Eevee!"
nanab-berry,field,healing,Restores 1/3 max HP,8,8,Only in Pokémon Legends: Arceus
naughty-mint,field,stat-boost,Changes Nature effects to Naughty,8,,
necrozma-treat,field,encounter-trigger,Allows the player to encounter and battle Necrozma at Socarrat Trail and receive a location hint from Snacksworth.,9,,
nest-ball,battle,catch-rate-modifier,Increases catch rate against lower-level wild Pokémon,3,,
net-ball,battle,catch-rate-modifier,3× against Water- or Bug-type Pokémon,3,6,
net-ball,battle,catch-rate-modifier,3.5× against Water- or Bug-type Pokémon; ~0.1× against Ultra Beasts,7,,
net-ball,held,fling,Fails when used with Fling,4,,
never-melt-ice,held,type-boost,Boosts Ice-type move power by 20%,4,,
never-melt-ice,held,type-boost,Boosts Ice-type move power by 10%,2,3,
nice-butter,field,passive,Allows up to four berries to be used when making donuts.,9,,
nomel-berry,battle,move-modifier,"Natural Gift becomes Dragon-type (70 power Gen IV–V, 90 power Gen VI+)",4,,
noodles,field,crafting,Used as an ingredient when making sandwiches.,9,,
normal-box,field,consumable-effect,Consumes the item to obtain the Silver Trophy decoration if not already owned.,2,2,
normal-gem,held,type-boost,Boosts first Normal-type move by 50%,5,5,Consumed after use
normal-gem,held,type-boost,Boosts first Normal-type move by 30%,6,,Consumed after use
normal-tera-shard,field,type-change,50 shards change a Pokémon’s Tera Type to Normal at the Treasure Eatery in Medali,9,,
normalium-z--held,held,type-boost,Upgrades Normal-type moves into Z-Moves such as Breakneck Blitz,7,,
nugget,passive,sell-only,Can only be sold for money,1,,
oaks-letter,field,story,Allows access to Seabreak Path and Shaymin at Flower Paradise after meeting Professor Oak on Route 224.,4,,
occa-berry,held,type-resistance,Halves damage from one supereffective Fire-type attack; quartered if holder has Ripen,4,,
oceanic-slate,field,encounter-trigger,Allows the player to battle Kyogre in the Oceanic Room at Ramanas Park.,8,,
odd-incense,held,type-boost,Boosts Psychic-type move power by 20%,4,,
odd-keystone,field,story-trigger,Allows Spiritomb to be encountered after meeting interaction requirements.,4,,
old-amber,field,evolution-trigger,Revives into Aerodactyl,1,,
old-charm,story,story-progress,Allows access to investigate the Celestic Town ruins after delivery to the elder.,4,,
old-gateau,field,healing,Cures all non-volatile status conditions and confusion,4,,
old-journal,field,story,Triggers journal passages during Request 82 and replaces the Torn Journal.,8,,
old-letter,field,story,Delivering it to Frank in Ballonlea rewards the player with a Choice Scarf and later allows obtaining a Reaper Cloth.,8,,
old-rod,field,fishing,Allows fishing for low-level aquatic Pokémon.,1,,Less powerful than the Good Rod or Super Rod.
old-sea-map,field,story-unlock,Allows travel to Faraway Island via the S.S. Tidal to encounter Mew.,3,3,
old-verse-01,field,passive,Can be read from the player's satchel once collected.,8,,
olive-oil,field,crafting,Used as an ingredient when making sandwiches.,9,,
onion,field,crafting,Used as an ingredient when making sandwiches.,9,,
oran-berry,held,healing,Restores 10 HP when HP falls below 50%,3,,Restores 20 HP in Legends: Arceus.
orange-dish,field,passive,Decorative only; no gameplay effect.,9,,
orange-mail,held,passive,Stores a written message that can be traded with the Pokémon holding it.,3,3,Cannot be stolen by Covet or Thief; can be removed by Knock Off.
orange-petal,passive,story,One of seven petals required for Mina to create a Rainbow Flower.,7,,
laorigin-ball,field,capture,Automatically catches Origin Forme Dialga or Origin Forme Palkia during a story cutscene.,8,,Cannot be used on any other Pokémon.
origin-ore,field,crafting,Used by Professor Laventon along with the shattered Red Chain and a Poké Ball to craft the Origin Ball during Mission 18.,8,,
oval-charm,passive,breeding-boost,Increases the chance of Pokémon Eggs being found at the Day Care or Nursery.,5,,
oval-stone,held,evolution-trigger,Evolves Happiny into Chansey during daytime level-up,4,,Item is consumed upon evolution
pack-of-potatoes,field,crafting,Used as an ingredient when cooking curry.,8,,
packaged-curry,field,crafting,Used as an ingredient when cooking curry,8,,
pair-of-tickets,field,story,Allows the player to attend the Litleonid star show at the Mossdeep Space Center during the Delta Episode.,6,,
pal-pad,passive,utility,Allows registering friends and Friend Codes for online play and tracking multiplayer records.,4,,
pamtre-berry,held,natural-gift,Natural Gift becomes Steel-type with 70 power (Gen IV–V) or 90 power (Gen VI+).,4,,
paralyze-heal,field,status-healing,Cures paralysis,1,,
parasol-pick,field,crafting,Used to complete a sandwich during a picnic.,9,,
parcel,field,story,Triggers story events when delivered to the intended recipient.,1,,
park-ball,battle,capture,Catches the encountered Pokémon without fail during Pal Park Catching Shows.,4,,
party-sparkler-pick,field,passive,Completes a sandwich during a picnic.,9,,
pass,field,access,Allows unlimited rides on the Magnet Train between Saffron City and Goldenrod City once the Power Plant is restored.,2,,
pass-orb,field,currency,Used to purchase Pass Powers at the Entralink.,5,5,
passho-berry,battle,natural-gift,"Natural Gift becomes Water-type; power 60 (Gen IV–V), 80 (Gen VI+)",4,,
passho-berry,held,type-resistance,"Halves damage from one supereffective Water-type attack; with Ripen, damage is quartered",4,,
pasta,field,crafting,Used as an ingredient when cooking curry.,8,,
payapa-berry,held,type-boost,Halves damage from one supereffective Psychic-type attack; quartered if holder has Ripen.,4,,
peach-chairs,passive,cosmetic,Decorates the player's picnic with a set of chairs.,9,,
peach-tablecloth,passive,cosmetic,Decorates the player's picnic without providing gameplay effects.,9,,
peanut-butter,field,ingredient,Used as an ingredient when making sandwiches.,9,,
pearl,passive,sell-only,Can only be sold for money.,2,,
pearl-string,passive,sell-only,No effect other than being sold,5,,
peat-block,field,evolution-trigger,Evolves Ursaring into Ursaluna during a full moon,8,,Item is consumed upon use
pebble,battle,evolution-trigger,Transforms into Zygardite and enables Mega Evolution of Zygarde.,9,,
pecha-berry,field,status-healing,Cures a Pokémon of poison when used from the Bag.,3,,
pecha-berry,held,status-healing,Cures poison when the holder becomes poisoned.,3,,
pep-up-plant,passive,crafting-material,"Used to craft Super Potion, Fine Remedy, Aux Power, Aux Guard, Max Ether, and Max Elixir.",8,,
pepper,field,crafting,Used as an ingredient when making sandwiches.,9,,
permit,field,access,Allows travel to the Nature Preserve from the airport in Mistralton City.,5,,
persim-berry,field,status-healing,Cures confusion when used from the Bag,3,,
persim-berry,held,status-healing,Cures confusion,3,,
petaya-berry,held,stat-boost,Raises Special Attack by one stage when HP is at or below 1/4,3,,Activates at 1/2 HP if the holder has Gluttony; raises two stages if the holder has Ripen
pewter-crunchies,field,healing,Cures all non-volatile status conditions and confusion.,7,,
pickle,field,crafting,Used as an ingredient to make sandwiches.,9,,
picnic-set,field,passive,Allows the player to set up picnics from the menu.,9,,
pidgeotite,held,evolution-trigger,Allows Mega Evolution of Pidgeot,6,,Requires Key Stone
pika-pika-pick,field,passive,Used to complete a sandwich during a picnic.,9,,
pikachu-cup,passive,decorative,Decorates the player's picnic with a Pikachu-themed cup.,9,,
pikanium-z--held,held,z-move-upgrade,Upgrades Pikachu's Volt Tackle into Catastropika.,7,,Only works for Pikachu not wearing a cap.
pikashunium-z--held,held,evolution-trigger,"Upgrades Thunderbolt into the Z-Move 10,000,000 Volt Thunderbolt for Pikachu in a cap.",7,,
pinap-berry,field,catch-reward-boost,Increases item rewards from caught Pokémon,7,7,Only in Let's Go games
pinap-berry,field,healing,Restores 1/3 max HP,8,8,Legends: Arceus only
pineapple,field,crafting,Used as an ingredient when making sandwiches.,9,,
pink-apricorn,field,crafting,Can be turned into a Love Ball by Kurt.,2,,
pink-apricorn,field,stat-boost,Produces Aprijuice that boosts Speed Performance when used in the Apriblender.,4,,
pink-bottle,passive,decorative,No practical effect; decorates the player's picnic.,9,,
pink-bow,held,type-boost,Boosts Normal-type move power by 10%,2,2,
pink-canari-plush-lv-1,passive,resource-boost,Small crystals drop 2–4 Mega Shards; large crystals drop 8–12.,9,,
pink-canari-plush-lv-2,passive,resource-boost,Small crystals drop 3–5 Mega Shards; large crystals drop 10–14.,9,,
pink-canari-plush-lv-3,passive,resource-boost,Small crystals drop 5–7 Mega Shards; large crystals drop 14–18.,9,,
pink-chairs,field,passive,Decorates the player's picnic with a set of pink chairs.,9,,
pink-cup,passive,decorative,No functional effect; decorates the player's picnic.,9,,
pink-nectar,field,form-change,Changes Oricorio to Pa'u Style,7,,Can only be used outside of battle and is consumed after use
pink-petal,passive,story,Contributes to forming the Rainbow Flower when all seven petals are collected.,7,,
pink-scarf,held,stat-boost,Raises Cuteness in Pokémon Contests,3,,"In Generation III, raises Cuteness by 20 points up to 255."
pink-tablecloth,passive,cosmetic,Decorates the player's picnic without providing gameplay benefits.,9,,
pinsirite,held,evolution-trigger,Allows Pinsir to Mega Evolve into Mega Pinsir,6,,Requires Key Stone
pixie-plate,held,form-change,Changes Arceus to Fairy type,6,,Via Multitype ability
pixie-plate,held,type-boost,Boosts Fairy-type moves by 20%,6,,
plaid-chairs-b,passive,decorative,Decorates the player's picnic with a set of chairs.,9,,
plaid-chairs-r,passive,decorative,Decorates the player's picnic with red plaid chairs.,9,,
plaid-chairs-y,passive,cosmetic,Decorates the player's picnic with yellow plaid chairs.,9,,
plaid-tablecloth-b,field,cosmetic,Decorates the player's picnic table.,9,,
plaid-tablecloth-r,passive,cosmetic,Decorates the player's picnic table.,9,,
plaid-tablecloth-y,field,cosmetic,Decorates the player's picnic with a yellow plaid tablecloth.,9,,
plasma-card,field,story-progress,Allows access to restricted areas of the Plasma Frigate.,5,,
plume-fossil,passive,evolution-trigger,Restores into Archen when taken to a fossil restoration facility.,5,,
plump-beans,field,crafting-material,Required to craft a Bean Cake.,8,,
plump-beans,field,lure,Can be thrown to attract certain Pokémon.,8,,
poffin-case,passive,storage,Stores up to 100 Poffins,4,,
point-card,passive,currency-tracking,Stores Battle Points earned from Battle Tower victories.,4,,"In Platinum, HeartGold, and SoulSilver, Battle Points are tracked on the Vs. Recorder instead."
poison-barb,held,type-boost,+20% Poison-type move power,4,,
poison-barb,held,type-boost,+10% Poison-type move power,2,3,
poison-gem,held,type-boost,Boosts first Poison-type move by 30%,6,,Consumed after use.
poison-gem,held,type-boost,Boosts first Poison-type move by 50%,5,5,Consumed after use; Fling fails.
poison-memory,battle,type-change,Multi-Attack becomes Poison-type,7,,
poison-memory,field,form-change,Changes Silvally to Poison-type form,7,,
poison-memory,held,form-change,Changes Silvally to Poison-type form,7,,Cannot be removed or swapped via item-manipulating moves
poison-tera-shard,field,type-change,50 shards change a Pokémon’s Tera Type to Poison at the Treasure Eatery in Medali,9,,Cannot be used on Ogerpon or Terapagos.
poisonium-z--held,held,form-change,Changes Arceus to its Poison-type form via Multitype.,7,,
poisonium-z--held,held,type-boost,Upgrades Poison-type moves into the Z-Move Acid Downpour or corresponding Z-Moves.,7,,
poke-ball,battle,capture,Catch rate modifier of 1×,1,,Ultra Beasts have a drastically reduced modifier.
poke-ball,field,evolution-trigger,Creates Shedinja when Nincada evolves if space is available,4,,
poke-ball-hisuian,battle,catch-rate-modifier,0.75× catch rate,8,,
poke-doll,battle,escape,Guaranteed escape from wild Pokémon battles,1,,
poke-flute,battle,status-healing,Cures sleep for all Pokémon on the field,1,3,Does not affect Pokémon with Soundproof in Generation III.
poke-flute,field,story-trigger,Wakes sleeping Snorlax blocking routes,1,7,
poke-radar,field,encounter-modifier,Generates shaking patches of grass to encounter wild Pokémon and enable chaining for increased Shiny odds.,4,,
poke-toy,battle,escape,Guarantees escape from wild Pokémon battles,5,,
pokeblock-case,field,storage,Stores up to 40 Pokéblocks and allows access to related activities.,3,,Allows admission to the Hoenn Safari Zone; enables Pokémon Contests in Emerald.
pokeblock-kit,field,passive,"Allows the player to make, store, and feed Pokéblocks using a portable Berry Blender and Pokéblock Case.",6,,
pokemon-box-link,field,storage-access,Allows access to the Pokémon storage system from most locations.,7,,Unavailable in certain areas such as Gyms or tournaments in some games.
pokeshi-doll,passive,none,No practical effect other than being sold.,8,,
polka-dot-bottle,passive,decoration,Decorates the player's picnic with no gameplay effect.,9,,
polka-dot-chairs,passive,cosmetic,Decorates the player's picnic with polka-dot themed chairs.,9,,
polka-dot-cup,passive,cosmetic,Decorates the player's picnic with no gameplay effect.,9,,
polka-dot-tablecloth,passive,cosmetic,Decorates the player's picnic.,9,,
polkadot-bow,held,type-boost,Boosts Normal-type move power by 10%,2,2,
pomeg-berry,field,friendship-boost,Increases friendship and lowers HP EVs by 10,3,,Friendship increase scales with current friendship; EV reduction capped at 0.
pop-pod,passive,crafting-material,Required to craft a Scatter Bang,8,,
popping-candy,field,crafting,Used to make the Plasma-Glazed Donut.,9,,
portraitmail,held,message-storage,Stores a written message up to 32 characters and displays the holder's sprite.,2,2,Cannot be stolen by Thief.
potato-salad,passive,crafting,Used as an ingredient when making sandwiches.,9,,
potato-tortilla,field,crafting,Used as an ingredient when making sandwiches.,9,,
potion,field,healing,Restores 20 HP,1,,Restores 60 HP in Legends: Arceus
powder-jar,passive,storage,"Stores up to 99,999 units of Berry Powder and allows participation in the Berry Crush minigame.",3,,
power-anklet,field,breeding,Holder's Speed IV is guaranteed to be passed down,4,,"If both parents hold one, one is chosen at random"
power-anklet,held,ev-gain,"+4 Speed EVs (Gen IV–VI), +8 Speed EVs (Gen VII+)",4,,Effect doubled by Pokérus
power-anklet,held,stat-modifier,Speed is halved in battle,4,,
power-band,field,breeding,Passes down Special Defense IV,4,,"If both parents hold one, one is chosen at random."
power-band,held,stat-boost,+4 Special Defense EVs per battle,4,6,Effect doubled by Pokérus; Speed is halved in battle.
power-band,held,stat-boost,+8 Special Defense EVs per battle,7,,Speed is halved in battle.
power-belt,battle,stat-modifier,Speed is halved; grants +4 Defense EVs per battle,4,6,EV gain doubled by Pokérus
power-belt,battle,stat-modifier,Speed is halved; grants +8 Defense EVs per battle,7,,
power-belt,field,breeding,Guarantees inheritance of holder's Defense IV,4,,From HeartGold and SoulSilver onward
power-bracer,field,breeding,Passes down the holder's Attack IV when breeding,4,,From HeartGold and SoulSilver onward
power-bracer,held,ev-boost,+8 Attack EVs per battle,7,,
power-bracer,held,ev-boost,+4 Attack EVs per battle,4,6,Doubled by Pokérus
power-bracer,held,stat-modifier,Speed is halved in battle,4,,
power-herb,held,charge-skip,Consumes itself to skip the charging turn of certain moves,4,,Not consumed during harsh sunlight for Solar Beam/Solar Blade or rain for Electro Shot
power-lens,field,breeding,Passes down the holder's Special Attack IV when breeding,4,,"If both parents hold a Power Lens, one is chosen at random"
power-lens,held,stat-boost,+8 Special Attack EVs per battle,7,,
power-lens,held,stat-modifier,Speed is halved in battle,4,,
power-lens,held,stat-boost,+4 Special Attack EVs per battle,4,6,Effect doubled by Pokérus
power-plant-pass,field,access,Allows entry to the Kalos Power Plant,6,,
power-weight,battle,stat-modifier,Halves Speed during battle,4,,
power-weight,battle,ev-boost,+4 HP EVs per battle (+8 from Generation VII onward); doubled with Pokérus,4,,
power-weight,held,breeding,Guarantees inheritance of holder's HP IV,4,,From HeartGold and SoulSilver onward
pp-max,field,pp-boost,Sets selected move PP to 8/5 of its base value,3,,Consumed on use; slightly increases friendship
pp-up,field,stat-boost,Increases a move's maximum PP by 20% of its base PP,1,,Up to three uses per move; also slightly increases friendship from Generation III onward.
precooked-burger,field,crafting,Used as an ingredient when cooking curry.,8,,
premier-ball,battle,catch-rate,1× catch rate; reduced against Ultra Beasts,3,,
pretty-wing,passive,none,Can only be sold; has no other effect.,5,,
primarium-z--held,held,move-upgrade,Upgrades Sparkling Aria into Oceanic Operetta when held by Primarina.,7,,
prism-scale,held,evolution-trigger,Evolves Feebas into Milotic when traded,5,,Consumed upon use
prison-bottle,field,evolution-trigger,Transforms Hoopa Confined into Hoopa Unbound for three days,6,,"Hoopa reverts when deposited into PC, Bank, or Nursery depending on generation"
professors-mask,field,story,Must be returned to Professor Kukui at Malie Garden.,7,,
profs-letter,field,story,"When given to the player's mother, she gives the player a Town Map and a Potion.",6,,
prop-case,field,storage,Stores Props used for Pokémon Musicals.,5,,
prosciutto,field,crafting,Used as an ingredient when making sandwiches.,9,,
protective-pads,held,passive,Prevents effects triggered by contact moves from affecting the holder.,7,,Also prevents Perish Body from activating on contact.
protector,field,evolution-trigger,Evolves Rhydon into Rhyperior when used,8,8,Legends: Arceus only
protector,held,evolution-trigger,Evolves Rhydon into Rhyperior when traded,4,,Item is consumed on evolution
protein,field,stat-boost,+10 Attack EVs (earlier gens) / raises Attack EVs up to caps (Gen VIII+),1,,
przcureberry,field,healing,Cures paralysis when used from the Bag,2,2,
przcureberry,held,healing,Cures paralysis when the holder becomes paralyzed,2,2,
psn-cure-berry,field,healing,Cures poison when used from the Bag,2,2,
psn-cure-berry,held,healing,Cures poison when the holder becomes poisoned,2,2,
psychic-gem,held,type-boost,Boosts the first Psychic-type move by 50%,5,5,Consumed after use; Fling fails if held
psychic-gem,held,type-boost,Boosts the first Psychic-type move by 30%,6,,Consumed after use
psychic-memory,battle,type-change,Changes Multi-Attack to Psychic type and Silvally to Psychic type,7,,
psychic-memory,field,type-change,Changes Silvally to its Psychic-type form,7,,
psychic-seed,held,stat-boost,+1 Special Defense stage when Psychic Terrain is active,7,,
psychic-tera-shard,field,type-change,Collect 50 shards to change a Pokémon’s Tera Type to Psychic at the Treasure Eatery in Medali.,9,,Does not apply to Ogerpon or Terapagos.
psychium-z--held,held,type-boost,"Upgrades Psychic-type moves into Z-Moves, including Shattered Psyche.",7,,Unaffected by item-negating effects and cannot be removed by Trick or Fling.
psychium-z--held,held,form-change,Changes Arceus to its Psychic-type form via Multitype.,7,,
