identifier,id,generation,type,power,pp,accuracy,priority,target,damage_class,effect_id,effect_chance,contest_type,contest_effect_id,super_contest_effect_id,source
light-that-burns-the-sky,723,7,psychic,200,1,,0,selected-pokemon,special,416,,,,,both
searing-sunraze-smash,724,7,steel,200,1,,0,selected-pokemon,physical,411,,,,,both
menacing-moonraze-maelstrom,725,7,ghost,200,1,,0,selected-pokemon,special,411,,,,,both
lets-snuggle-forever,726,7,fairy,190,1,,0,selected-pokemon,physical,1,,,,,both
splintered-stormshards,727,7,rock,190,1,,0,selected-pokemon,physical,418,,,,,both
clangorous-soulblaze,728,7,dragon,185,1,,0,all-opponents,special,419,100,,,,both
zippy-zap,729,7,electric,80,10,100,2,selected-pokemon,physical,1,100,,,,both
splishy-splash,730,7,water,90,15,100,0,all-opponents,special,1,30,,,,both
floaty-fall,731,7,flying,90,15,95,0,selected-pokemon,physical,1,30,,,,both
pika-papow,732,7,electric,,20,,0,selected-pokemon,special,1,,,,,both
bouncy-bubble,733,7,water,60,20,100,0,selected-pokemon,special,1,,,,,both
buzzy-buzz,734,7,electric,60,20,100,0,selected-pokemon,special,1,100,,,,both
sizzly-slide,735,7,fire,60,20,100,0,selected-pokemon,physical,1,100,,,,both
glitzy-glow,736,7,psychic,80,15,95,0,selected-pokemon,special,1,,,,,both
baddy-bad,737,7,dark,80,15,95,0,selected-pokemon,special,1,,,,,both
sappy-seed,738,7,grass,100,10,90,0,selected-pokemon,physical,1,100,,,,both
freezy-frost,739,7,ice,100,10,90,0,selected-pokemon,special,1,,,,,both
sparkly-swirl,740,7,fairy,120,5,85,0,selected-pokemon,special,1,,,,,both
veevee-volley,741,7,normal,,20,,0,selected-pokemon,physical,1,,,,,both
double-iron-bash,742,7,steel,60,5,100,0,selected-pokemon,physical,45,30,,,,both
max-guard,743,8,normal,,10,,4,user,status,112,,,,,both
dynamax-cannon,744,8,dragon,100,5,100,0,selected-pokemon,special,421,100,,,,both
snipe-shot,745,8,water,80,15,100,0,selected-pokemon,special,422,100,,,,both
jaw-lock,746,8,dark,80,10,100,0,selected-pokemon,physical,445,100,,,,both
stuff-cheeks,747,8,normal,,10,,0,user,status,446,100,,,,both
no-retreat,748,8,fighting,,5,,0,user,status,447,100,,,,both
tar-shot,749,8,rock,,15,100,0,selected-pokemon,status,448,100,,,,both
magic-powder,750,8,psychic,,20,100,0,selected-pokemon,status,449,100,,,,both
dragon-darts,751,8,dragon,50,10,100,0,selected-pokemon,physical,450,100,,,,both
teatime,752,8,normal,,10,,0,all-pokemon,status,451,100,,,,both
octolock,753,8,fighting,,15,100,0,selected-pokemon,status,452,100,,,,both
bolt-beak,754,8,electric,85,10,100,0,selected-pokemon,physical,453,100,,,,both
fishious-rend,755,8,water,85,10,100,0,selected-pokemon,physical,453,100,,,,both
court-change,756,8,normal,,10,100,0,entire-field,status,454,100,,,,both
max-flare,757,8,fire,100,10,100,0,selected-pokemon-me-first,physical,138,100,,,,both
max-flutterby,758,8,bug,10,10,100,0,selected-pokemon-me-first,physical,455,100,,,,both
max-lightning,759,8,electric,10,10,100,0,selected-pokemon-me-first,physical,369,100,,,,both
max-strike,760,8,normal,10,10,100,0,selected-pokemon-me-first,physical,456,100,,,,both
max-knuckle,761,8,fighting,10,10,100,0,selected-pokemon-me-first,physical,457,100,,,,both
max-phantasm,762,8,ghost,10,10,100,0,selected-pokemon-me-first,physical,458,100,,,,both
max-hailstorm,763,8,ice,10,10,100,0,selected-pokemon-me-first,physical,165,100,,,,both
max-ooze,764,8,poison,10,10,100,0,selected-pokemon-me-first,physical,459,100,,,,both
max-geyser,765,8,water,10,10,100,0,selected-pokemon-me-first,physical,137,100,,,,both
max-airstream,766,8,flying,10,10,100,0,selected-pokemon-me-first,physical,460,100,,,,both
max-starfall,767,8,fairy,10,10,100,0,selected-pokemon-me-first,physical,353,100,,,,both
max-wyrmwind,768,8,dragon,10,10,100,0,selected-pokemon-me-first,physical,461,100,,,,both
max-mindstorm,769,8,psychic,10,10,100,0,selected-pokemon-me-first,physical,395,100,,,,both
max-rockfall,770,8,rock,10,10,100,0,selected-pokemon-me-first,physical,116,100,,,,both
max-quake,771,8,ground,10,10,100,0,selected-pokemon-me-first,physical,462,100,,,,both
max-darkness,772,8,dark,10,10,100,0,selected-pokemon-me-first,physical,463,100,,,,both
max-overgrowth,773,8,grass,10,10,100,0,selected-pokemon-me-first,physical,352,100,,,,both
max-steelspike,774,8,steel,10,10,100,0,selected-pokemon-me-first,physical,464,100,,,,both
clangorous-soul,775,8,dragon,,5,100,0,user,status,465,100,,,,both
body-press,776,8,fighting,80,10,100,0,selected-pokemon,physical,466,,,,,both
decorate,777,8,fairy,,15,,0,selected-pokemon,status,467,100,,,,both
drum-beating,778,8,grass,80,10,100,0,selected-pokemon,physical,71,100,,,,both
snap-trap,779,8,grass,35,15,100,0,selected-pokemon,physical,43,100,,,,both
pyro-ball,780,8,fire,120,5,90,0,selected-pokemon,physical,5,10,,,,both
behemoth-blade,781,8,steel,100,5,100,0,selected-pokemon,physical,421,100,,,,both
behemoth-bash,782,8,steel,100,5,100,0,selected-pokemon,physical,421,100,,,,both
aura-wheel,783,8,electric,110,10,100,0,selected-pokemon,physical,468,100,,,,both
breaking-swipe,784,8,dragon,60,15,100,0,all-opponents,physical,396,100,,,,both
branch-poke,785,8,grass,40,40,100,0,selected-pokemon,physical,1,,,,,both
overdrive,786,8,electric,80,10,100,0,all-opponents,special,1,,,,,both
apple-acid,787,8,grass,80,10,100,0,selected-pokemon,special,469,100,,,,both
grav-apple,788,8,grass,80,10,100,0,selected-pokemon,physical,470,100,,,,both
spirit-break,789,8,fairy,75,15,100,0,selected-pokemon,physical,72,100,,,,both
strange-steam,790,8,fairy,90,10,95,0,selected-pokemon,special,77,20,,,,both
life-dew,791,8,water,,10,,0,user-and-allies,status,471,100,,,,both
obstruct,792,8,dark,,10,100,4,user,status,472,100,,,,both
false-surrender,793,8,dark,80,10,,0,selected-pokemon,physical,18,100,,,,both
meteor-assault,794,8,fighting,150,5,100,0,selected-pokemon,physical,81,100,,,,both
eternabeam,795,8,dragon,160,5,90,0,selected-pokemon,special,81,100,,,,both
steel-beam,796,8,steel,140,5,95,0,selected-pokemon,special,420,100,,,,both
expanding-force,797,8,psychic,80,10,100,0,selected-pokemon,special,473,100,,,,both
steel-roller,798,8,steel,130,5,100,0,selected-pokemon,physical,474,100,,,,both
scale-shot,799,8,dragon,25,20,90,0,selected-pokemon,physical,443,100,,,,both
meteor-beam,800,8,rock,120,10,90,0,selected-pokemon,special,475,100,,,,both
shell-side-arm,801,8,poison,90,10,100,0,selected-pokemon,special,476,20,,,,both
misty-explosion,802,8,fairy,100,5,100,0,all-other-pokemon,special,477,100,,,,both
grassy-glide,803,8,grass,55,20,100,0,selected-pokemon,physical,478,100,,,,both
rising-voltage,804,8,electric,70,20,100,0,selected-pokemon,special,479,100,,,,both
terrain-pulse,805,8,normal,50,10,100,0,selected-pokemon,special,480,,,,,both
skitter-smack,806,8,bug,70,10,90,0,selected-pokemon,physical,358,100,,,,both
burning-jealousy,807,8,fire,70,5,100,0,all-opponents,special,481,100,,,,both
lash-out,808,8,dark,75,5,100,0,selected-pokemon,physical,482,100,,,,both
poltergeist,809,8,ghost,110,5,90,0,selected-pokemon,physical,483,,,,,both
corrosive-gas,810,8,poison,,40,100,0,all-other-pokemon,status,189,100,,,,both
coaching,811,8,fighting,,10,,0,user-and-allies,status,484,100,,,,both
flip-turn,812,8,water,60,20,100,0,selected-pokemon,physical,229,100,,,,both
triple-axel,813,8,ice,20,10,90,0,selected-pokemon,physical,105,100,,,,both
dual-wingbeat,814,8,flying,40,10,90,0,selected-pokemon,physical,45,100,,,,both
scorching-sands,815,8,ground,70,10,100,0,selected-pokemon,special,5,30,,,,both
jungle-healing,816,8,grass,,10,,0,user-and-allies,status,485,100,,,,both
wicked-blow,817,8,dark,75,5,100,0,selected-pokemon,physical,289,100,,,,both
surging-strikes,818,8,water,25,5,100,0,selected-pokemon,physical,486,100,,,,both
thunder-cage,819,8,electric,80,15,90,0,selected-pokemon,special,43,100,,,,both
dragon-energy,820,8,dragon,150,5,100,0,all-opponents,special,191,,,,,both
freezing-glare,821,8,psychic,90,10,100,0,selected-pokemon,special,261,10,,,,both
fiery-wrath,822,8,dark,90,10,100,0,all-opponents,special,32,20,,,,both
thunderous-kick,823,8,fighting,90,10,100,0,selected-pokemon,physical,397,100,,,,both
glacial-lance,824,8,ice,120,5,100,0,all-opponents,physical,1,,,,,both
astral-barrage,825,8,ghost,120,5,100,0,all-opponents,special,1,,,,,both
eerie-spell,826,8,psychic,80,5,100,0,selected-pokemon,special,487,100,,,,both
dire-claw,827,8,poison,80,15,100,0,selected-pokemon,physical,,,,,,both
psyshield-bash,828,8,psychic,70,10,90,0,selected-pokemon,physical,,,,,,both
power-shift,829,8,normal,0,10,,0,user,status,,,,,,both
stone-axe,830,8,rock,65,15,90,0,selected-pokemon,physical,,,,,,both
springtide-storm,831,8,fairy,100,5,80,0,all-opponents,special,,,,,,both
mystical-power,832,8,psychic,70,10,90,0,selected-pokemon,special,,,,,,both
raging-fury,833,8,fire,120,10,100,0,random-opponent,physical,,,,,,both
wave-crash,834,8,water,120,10,100,0,selected-pokemon,physical,,,,,,both
chloroblast,835,8,grass,150,5,95,0,selected-pokemon,special,,,,,,both
mountain-gale,836,8,ice,100,10,85,0,selected-pokemon,physical,,,,,,both
victory-dance,837,8,fighting,0,10,,0,user,status,,,,,,both
headlong-rush,838,8,ground,120,5,100,0,selected-pokemon,physical,,,,,,both
barb-barrage,839,8,poison,60,10,100,0,selected-pokemon,physical,,,,,,both
esper-wing,840,8,psychic,80,10,100,0,selected-pokemon,special,,,,,,both
bitter-malice,841,8,ghost,75,10,100,0,selected-pokemon,special,,,,,,both
shelter,842,8,steel,0,10,,0,user,status,,,,,,both
triple-arrows,843,8,fighting,90,10,100,0,selected-pokemon,physical,,,,,,both
infernal-parade,844,8,ghost,60,15,100,0,selected-pokemon,special,,,,,,both
ceaseless-edge,845,8,dark,65,15,90,0,selected-pokemon,physical,,,,,,both
bleakwind-storm,846,8,flying,100,10,80,0,all-opponents,special,,,,,,both
wildbolt-storm,847,8,electric,100,10,80,0,all-opponents,special,,,,,,both
sandsear-storm,848,8,ground,100,10,80,0,all-opponents,special,,,,,,both
lunar-blessing,849,8,psychic,0,5,,0,all-allies,status,,,,,,both
take-heart,850,8,psychic,0,10,,0,all-allies,status,,,,,,both
tera-blast,851,9,normal,80,10,100,0,selected-pokemon,special,,,,,,both
silk-trap,852,9,bug,0,10,,4,user,status,,,,,,both
axe-kick,853,9,fighting,120,10,90,0,selected-pokemon,physical,,,,,,both
last-respects,854,9,ghost,50,10,100,0,selected-pokemon,physical,,,,,,both
lumina-crash,855,9,psychic,80,10,100,0,selected-pokemon,special,,,,,,both
order-up,856,9,dragon,80,10,100,0,selected-pokemon,physical,,,,,,both
jet-punch,857,9,water,60,15,100,1,selected-pokemon,physical,,,,,,both
spicy-extract,858,9,grass,0,15,,0,selected-pokemon,status,,,,,,both
spin-out,859,9,steel,100,5,100,0,selected-pokemon,physical,,,,,,both
population-bomb,860,9,normal,20,10,90,0,selected-pokemon,physical,,,,,,both
ice-spinner,861,9,ice,80,15,100,0,selected-pokemon,physical,,,,,,both
glaive-rush,862,9,dragon,120,5,100,0,selected-pokemon,physical,,,,,,both
revival-blessing,863,9,normal,0,1,,0,fainting-pokemon,status,,,,,,both
salt-cure,864,9,rock,40,15,100,0,selected-pokemon,physical,,,,,,both
triple-dive,865,9,water,30,10,95,0,selected-pokemon,physical,,,,,,both
mortal-spin,866,9,poison,30,15,100,0,all-opponents,physical,,,,,,both
doodle,867,9,normal,0,10,100,0,selected-pokemon,status,,,,,,both
fillet-away,868,9,normal,0,10,,0,user,status,,,,,,both
kowtow-cleave,869,9,dark,85,10,,0,selected-pokemon,physical,,,,,,both
flower-trick,870,9,grass,70,10,,0,selected-pokemon,physical,,,,,,both
torch-song,871,9,fire,80,10,100,0,selected-pokemon,special,,,,,,both
aqua-step,872,9,water,80,10,100,0,selected-pokemon,physical,,,,,,both
raging-bull,873,9,normal,90,10,100,0,selected-pokemon,physical,,,,,,both
make-it-rain,874,9,steel,120,5,100,0,all-opponents,special,,,,,,both
psyblade,875,9,psychic,80,15,100,0,selected-pokemon,physical,,,,,,both
hydro-steam,876,9,water,80,15,100,0,selected-pokemon,special,,,,,,both
ruination,877,9,dark,1,10,90,0,selected-pokemon,special,,,,,,both
collision-course,878,9,fighting,100,5,100,0,selected-pokemon,physical,,,,,,both
electro-drift,879,9,electric,100,5,100,0,selected-pokemon,special,,,,,,both
shed-tail,880,9,normal,0,10,,0,user,status,,,,,,both
chilly-reception,881,9,ice,0,10,,0,entire-field,status,,,,,,both
tidy-up,882,9,normal,0,10,,0,user,status,,,,,,both
snowscape,883,9,ice,0,10,,0,entire-field,status,,,,,,both
pounce,884,9,bug,50,20,100,0,selected-pokemon,physical,,,,,,both
trailblaze,885,9,grass,50,20,100,0,selected-pokemon,physical,,,,,,both
chilling-water,886,9,water,50,20,100,0,selected-pokemon,special,,,,,,both
hyper-drill,887,9,normal,100,5,100,0,selected-pokemon,physical,,,,,,both
twin-beam,888,9,psychic,40,10,100,0,selected-pokemon,special,,,,,,both
rage-fist,889,9,ghost,50,10,100,0,selected-pokemon,physical,,,,,,both
armor-cannon,890,9,fire,120,5,100,0,selected-pokemon,special,,,,,,both
bitter-blade,891,9,fire,90,10,100,0,selected-pokemon,physical,,,,,,both
double-shock,892,9,electric,120,5,100,0,selected-pokemon,physical,,,,,,both
gigaton-hammer,893,9,steel,160,5,100,0,selected-pokemon,physical,,,,,,both
comeuppance,894,9,dark,1,10,100,0,specific-move,physical,,,,,,both
aqua-cutter,895,9,water,70,20,100,0,selected-pokemon,physical,,,,,,both
blazing-torque,896,9,fire,80,10,100,0,selected-pokemon,physical,,,,,,both
wicked-torque,897,9,dark,80,10,100,0,selected-pokemon,physical,,,,,,both
noxious-torque,898,9,poison,100,10,100,0,selected-pokemon,physical,,,,,,both
combat-torque,899,9,fighting,100,10,100,0,selected-pokemon,physical,,,,,,both
magical-torque,900,9,fairy,100,10,100,0,selected-pokemon,physical,,,,,,both
blood-moon,901,9,normal,140,5,100,0,selected-pokemon,special,,,,,,both
matcha-gotcha,902,9,grass,80,15,90,0,selected-pokemon,special,,,,,,both
syrup-bomb,903,9,grass,60,10,85,0,selected-pokemon,special,,,,,,both
ivy-cudgel,904,9,grass,100,10,100,0,selected-pokemon,physical,,,,,,both
electro-shot,905,9,electric,130,10,100,0,selected-pokemon,special,,,,,,both
tera-starstorm,906,9,normal,120,5,100,0,all-opponents,special,,,,,,both
fickle-beam,907,9,dragon,80,5,100,0,selected-pokemon,special,,,,,,both
burning-bulwark,908,9,fire,0,10,0,4,user,status,,,,,,both
thunderclap,909,9,electric,70,5,100,1,selected-pokemon,special,,,,,,both
mighty-cleave,910,9,rock,95,5,100,0,selected-pokemon,physical,,,,,,both
tachyon-cutter,911,9,steel,50,10,0,0,selected-pokemon,special,,,,,,both
hard-press,912,9,steel,0,10,100,0,selected-pokemon,physical,,,,,,both
dragon-cheer,913,9,dragon,0,15,0,0,all-allies,status,,,,,,both
alluring-voice,914,9,fairy,80,10,100,0,selected-pokemon,special,,,,,,both
temper-flare,915,9,fire,75,10,100,0,selected-pokemon,physical,,,,,,both
supercell-slam,916,9,electric,100,15,95,0,selected-pokemon,physical,,,,,,both
psychic-noise,917,9,psychic,75,10,100,0,selected-pokemon,special,,,,,,both
upper-hand,918,9,fighting,65,15,100,3,selected-pokemon,physical,,,,,,both
malignant-chain,919,9,poison,100,5,100,0,selected-pokemon,special,,,,,,both
shadow-rush,10001,3,shadow,55,,100,0,selected-pokemon,physical,10001,,,,,both
shadow-blast,10002,3,shadow,80,,100,0,selected-pokemon,physical,44,,,,,both
shadow-blitz,10003,3,shadow,40,,100,0,selected-pokemon,physical,1,,,,,both
shadow-bolt,10004,3,shadow,75,,100,0,selected-pokemon,special,7,10,,,,both
shadow-break,10005,3,shadow,75,,100,0,selected-pokemon,physical,1,,,,,both
shadow-chill,10006,3,shadow,75,,100,0,selected-pokemon,special,6,10,,,,both
shadow-end,10007,3,shadow,120,,60,0,selected-pokemon,physical,10002,,,,,both
shadow-fire,10008,3,shadow,75,,100,0,selected-pokemon,special,5,10,,,,both
shadow-rave,10009,3,shadow,70,,100,0,opponents-field,special,1,,,,,both
shadow-storm,10010,3,shadow,95,,100,0,opponents-field,special,1,,,,,both
shadow-wave,10011,3,shadow,50,,100,0,opponents-field,special,1,,,,,both
shadow-down,10012,3,shadow,,,100,0,opponents-field,status,60,,,,,both
shadow-half,10013,3,shadow,,,100,0,entire-field,special,10003,,,,,both
shadow-hold,10014,3,shadow,,,80,0,opponents-field,status,107,,,,,both
shadow-mist,10015,3,shadow,,,100,0,opponents-field,status,10004,,,,,both
shadow-panic,10016,3,shadow,,,90,0,opponents-field,status,50,,,,,both
shadow-shed,10017,3,shadow,,,100,0,entire-field,status,10005,,,,,both
shadow-sky,10018,3,shadow,,,100,0,entire-field,status,10006,,,,,both
breakneck-blitz,622,7,normal,,1,,0,selected-pokemon,vary,1,,,,,both
all-out-pummeling,624,7,fighting,,1,,0,selected-pokemon,vary,1,,,,,both
supersonic-skystrike,626,7,flying,,1,,0,selected-pokemon,vary,1,,,,,both
acid-downpour,628,7,poison,,1,,0,selected-pokemon,vary,1,,,,,both
tectonic-rage,630,7,ground,,1,,0,selected-pokemon,vary,1,,,,,both
continental-crush,632,7,rock,,1,,0,selected-pokemon,vary,1,,,,,both
savage-spin-out,634,7,bug,,1,,0,selected-pokemon,vary,1,,,,,both
never-ending-nightmare,636,7,ghost,,1,,0,selected-pokemon,vary,1,,,,,both
corkscrew-crash,638,7,steel,,1,,0,selected-pokemon,vary,1,,,,,both
inferno-overdrive,640,7,fire,,1,,0,selected-pokemon,vary,1,,,,,both
hydro-vortex,642,7,water,,1,,0,selected-pokemon,vary,1,,,,,both
bloom-doom,644,7,grass,,1,,0,selected-pokemon,vary,1,,,,,both
gigavolt-havoc,646,7,electric,,1,,0,selected-pokemon,vary,1,,,,,both
shattered-psyche,648,7,psychic,,1,,0,selected-pokemon,vary,1,,,,,both
subzero-slammer,650,7,ice,,1,,0,selected-pokemon,vary,1,,,,,both
devastating-drake,652,7,dragon,,1,,0,selected-pokemon,vary,1,,,,,both
black-hole-eclipse,654,7,dark,,1,,0,selected-pokemon,vary,1,,,,,both
twinkle-tackle,656,7,fairy,,1,,0,selected-pokemon,vary,1,,,,,both
g-max-vine-lash,920,8,grass,,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-wildfire,921,8,fire,,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-cannonade,922,8,water,,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-befuddle,923,8,bug,,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-volt-crash,924,8,electric,,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-gold-rush,925,8,normal,,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-chi-strike,926,8,fighting,,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-terror,927,8,ghost,,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-foam-burst,928,8,water,,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-resonance,929,8,ice,,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-cuddle,930,8,normal,,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-replenish,931,8,normal,,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-malodor,932,8,poison,,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-meltdown,933,8,steel,,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-drum-solo,934,8,grass,160,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-fireball,935,8,fire,160,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-hydrosnipe,936,8,water,160,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-wind-rage,937,8,flying,,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-gravitas,938,8,psychic,,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-stonesurge,939,8,water,,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-volcalith,940,8,rock,,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-tartness,941,8,grass,,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-sweetness,942,8,grass,,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-sandblast,943,8,ground,,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-stun-shock,944,8,electric,,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-centiferno,945,8,fire,,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-smite,946,8,fairy,,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-snooze,947,8,dark,,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-finale,948,8,fairy,,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-steelsurge,949,8,steel,,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-depletion,950,8,dragon,,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-one-blow,951,8,dark,,1,100,0,selected-pokemon,vary,,,,,,pokedb
g-max-rapid-flow,952,8,water,,1,100,0,selected-pokemon,vary,,,,,,pokedb
