item,name_en,name_ja,name_ja_hrkt,name_ja_roma,name_fr,name_fr_fr,name_de,name_es,name_es_es,name_es_419,name_it,name_ko,name_ko_latn,name_zh_hant,name_zh_hans,name_zh_cmn,name_zh_yue,name_cs,name_pt_br,name_pt_pt,name_ca,name_da,name_fi,name_fr_ca,name_he,name_he_latn,name_hi,name_hi_latn,name_hu,name_id,name_ms,name_nl,name_no,name_pl,name_ru,name_ru_latn,name_sv,name_ta,name_ta_latn,name_te,name_te_latn,name_th,name_th_latn,name_tr,name_vi,name_zh_cmn_latn,name_zh_yue_latn
coconut-milk,Coconut Milk,ヤシのミルク,ヤシのミルク,,Lait de Coco,,Kokosmilch,Leche de Coco,,Leche de Coco,Latte di cocco,야자밀크,Yaja Milkeu,椰奶,椰奶,椰奶,椰奶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yēnǎi,Yèhnáaih
instant-noodles,Instant Noodles,レトルトめん,レトルトめん,,Nouilles,,Fertignudeln,Fideos de Bote,Fideos de Bote,Fideos de Bote,Noodle precotti,레토르트면,Retoreuteu Myeon,即食麵,即食面,即食麵 / 即食面,即食麵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jíshí Miàn,Jīksihk Mihn
precooked-burger,Precooked Burger,レトルトバーグ,レトルトバーグ,,Steak Haché,,Frikadellen,Hamburguesas,,Hamburguesas,Hamburger,레토르트햄버그,Retoreuteu Haembeogeu,即食肉排,即食肉排,即食肉排,即食肉排,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jíshí Ròupái,Jīksihk Yuhkpàaih
gigantamix,Gigantamix,キョダイパウダー,キョダイパウダー,Kyodai Powder,Poudre Gigamax,,Giga-Pulver,Especias Gigamax,,Especias Gigamax,Gigaspezia,거대파우더,Geodae Paudeo,超極粉,超极粉,超極粉 / 超极粉,超極粉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chāo Jí Fěn,Chīu Gihk Fán
wishing-chip,Wishing Chip,ねがいのかけら,ねがいのかけら,Negai no Kakera,Fragment Vœu,,Wunschsplitter,Trocito Deseo,Trocito Deseo,Trocito Deseo,Desioframmento,소원의조각,Soweon-ui Jogak,許願星碎片,许愿星碎片,许愿星碎片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xǔyuàn Xīng Suìpiàn,
rotom-bike--water-mode,Rotom Bike,ロトムじてんしゃ,ロトムじてんしゃ,,Moticyclette,,Rotom-Rad,Bici Rotom,,Bici Rotom,Bici Rotom,로토무자전거,,洛托姆自行車,洛托姆自行车,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catching-charm,Catching Charm,ゆれないおまもり,ゆれないおまもり,Yurenai Omamori,Charme Stabilité,,Superfangpin,Amuleto Captura,,Amuleto Captura,Catturamuleto,흔들림없는부적,Heundeullim Eobsneun Bujeok,防晃護符,防晃护符,防晃護符 / 防晃护符,防晃護符,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fánghuàng Hùfú,Fòhngfóng Wuhfùh
old-letter,Old Letter,ふるびたてがみ,ふるびたてがみ,Furubita Tegami,Lettre Jaunie,,Vergilbter Brief,Carta Ajada,Carta Ajada,Carta Ajada,Vecchia lettera,낡은편지,,陳舊的信,陈旧的信,陳舊的信 / 陈旧的信,陳舊的信,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chénjiù de Xìn,Chàhngauh dīk Seun
band-autograph,Band Autograph,バンドのサイン,バンドのサイン,,Dédicace,,Band-Autogramm,Autógrafo Grupo,,Autógrafo Grupo,Autografo band,밴드의사인,,樂團的簽名,乐队的签名,樂團的簽名 / 乐队的签名,樂團的簽名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yuètuán de Qiānmíng,Ngohktyùhn dīk Chīmméng
sonias-book,Sonia’s Book,ソニアのほん,ソニアのほん,Sonia no Hon,Livre de Sonya,,Sanias Buch,Libro de Sonia,,Libro de Sonia,Libro di Sonia,소니아의책,,索妮亞的書,索妮亚的书,索妮亞的書 / 索妮亚的书,索妮亞的書,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suǒníyǎ de Shū / Suǒnīyà de Shū,Soknèih'a dīk Syū
rotom-catalog,Rotom Catalog,ロトムのカタログ,ロトムのカタログ,Rotomu no Katarogu,Moti-Catalogue,,Rotom-Katalog,Catálogo Rotom,,Catálogo Rotom,Catalogo Rotom,로토무카탈로그,,洛托姆型錄,洛托姆型录,洛托姆型錄 / 洛托姆型录,洛托姆型錄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luòtuōmǔ Xínglù,Loktokmóuh Yìhngluhk
dynamax-crystal-and458,★And458,★And458,★And458,,★And458,,★And458,★And458,,★And458,★And458,★And458,,★And458,★And458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-and15,★And15,★And15,★And15,,★And15,,★And15,★And15,,★And15,★And15,★And15,,★And15,★And15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-and337,★And337,★And337,★And337,,★And337,,★And337,★And337,,★And337,★And337,★And337,,★And337,★And337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-and603,★And603,★And603,★And603,,★And603,,★And603,★And603,,★And603,★And603,★And603,,★And603,★And603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-and390,★And390,★And390,★And390,,★And390,,★And390,★And390,,★And390,★And390,★And390,,★And390,★And390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-sgr6879,★Sgr6879,★Sgr6879,★Sgr6879,,★Sgr6879,,★Sgr6879,★Sgr6879,,★Sgr6879,★Sgr6879,★Sgr6879,,★Sgr6879,★Sgr6879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-sgr6859,★Sgr6859,★Sgr6859,★Sgr6859,,★Sgr6859,,★Sgr6859,★Sgr6859,,★Sgr6859,★Sgr6859,★Sgr6859,,★Sgr6859,★Sgr6859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-sgr6913,★Sgr6913,★Sgr6913,★Sgr6913,,★Sgr6913,,★Sgr6913,★Sgr6913,,★Sgr6913,★Sgr6913,★Sgr6913,,★Sgr6913,★Sgr6913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-sgr7348,★Sgr7348,★Sgr7348,★Sgr7348,,★Sgr7348,,★Sgr7348,★Sgr7348,,★Sgr7348,★Sgr7348,★Sgr7348,,★Sgr7348,★Sgr7348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-sgr7121,★Sgr7121,★Sgr7121,★Sgr7121,,★Sgr7121,,★Sgr7121,★Sgr7121,,★Sgr7121,★Sgr7121,★Sgr7121,,★Sgr7121,★Sgr7121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-sgr6746,★Sgr6746,★Sgr6746,★Sgr6746,,★Sgr6746,,★Sgr6746,★Sgr6746,,★Sgr6746,★Sgr6746,★Sgr6746,,★Sgr6746,★Sgr6746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-sgr7194,★Sgr7194,★Sgr7194,★Sgr7194,,★Sgr7194,,★Sgr7194,★Sgr7194,,★Sgr7194,★Sgr7194,★Sgr7194,,★Sgr7194,★Sgr7194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-sgr7337,★Sgr7337,★Sgr7337,★Sgr7337,,★Sgr7337,,★Sgr7337,★Sgr7337,,★Sgr7337,★Sgr7337,★Sgr7337,,★Sgr7337,★Sgr7337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-sgr7343,★Sgr7343,★Sgr7343,★Sgr7343,,★Sgr7343,,★Sgr7343,★Sgr7343,,★Sgr7343,★Sgr7343,★Sgr7343,,★Sgr7343,★Sgr7343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-sgr6812,★Sgr6812,★Sgr6812,★Sgr6812,,★Sgr6812,,★Sgr6812,★Sgr6812,,★Sgr6812,★Sgr6812,★Sgr6812,,★Sgr6812,★Sgr6812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-sgr7116,★Sgr7116,★Sgr7116,★Sgr7116,,★Sgr7116,,★Sgr7116,★Sgr7116,,★Sgr7116,★Sgr7116,★Sgr7116,,★Sgr7116,★Sgr7116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-sgr7264,★Sgr7264,★Sgr7264,★Sgr7264,,★Sgr7264,,★Sgr7264,★Sgr7264,,★Sgr7264,★Sgr7264,★Sgr7264,,★Sgr7264,★Sgr7264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-sgr7597,★Sgr7597,★Sgr7597,★Sgr7597,,★Sgr7597,,★Sgr7597,★Sgr7597,,★Sgr7597,★Sgr7597,★Sgr7597,,★Sgr7597,★Sgr7597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-del7882,★Del7882,★Del7882,★Del7882,,★Del7882,,★Del7882,★Del7882,,★Del7882,★Del7882,★Del7882,,★Del7882,★Del7882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-del7906,★Del7906,★Del7906,★Del7906,,★Del7906,,★Del7906,★Del7906,,★Del7906,★Del7906,★Del7906,,★Del7906,★Del7906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-del7852,★Del7852,★Del7852,★Del7852,,★Del7852,,★Del7852,★Del7852,,★Del7852,★Del7852,★Del7852,,★Del7852,★Del7852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-psc596,★Psc596,★Psc596,★Psc596,,★Psc596,,★Psc596,★Psc596,,★Psc596,★Psc596,★Psc596,,★Psc596,★Psc596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-psc361,★Psc361,★Psc361,★Psc361,,★Psc361,,★Psc361,★Psc361,,★Psc361,★Psc361,★Psc361,,★Psc361,★Psc361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-psc510,★Psc510,★Psc510,★Psc510,,★Psc510,,★Psc510,★Psc510,,★Psc510,★Psc510,★Psc510,,★Psc510,★Psc510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-psc437,★Psc437,★Psc437,★Psc437,,★Psc437,,★Psc437,★Psc437,,★Psc437,★Psc437,★Psc437,,★Psc437,★Psc437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-psc8773,★Psc8773,★Psc8773,★Psc8773,,★Psc8773,,★Psc8773,★Psc8773,,★Psc8773,★Psc8773,★Psc8773,,★Psc8773,★Psc8773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-lep1865,★Lep1865,★Lep1865,★Lep1865,,★Lep1865,,★Lep1865,★Lep1865,,★Lep1865,★Lep1865,★Lep1865,,★Lep1865,★Lep1865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-lep1829,★Lep1829,★Lep1829,★Lep1829,,★Lep1829,,★Lep1829,★Lep1829,,★Lep1829,★Lep1829,★Lep1829,,★Lep1829,★Lep1829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-boo5340,★Boo5340,★Boo5340,★Boo5340,,★Boo5340,,★Boo5340,★Boo5340,,★Boo5340,★Boo5340,★Boo5340,,★Boo5340,★Boo5340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-boo5506,★Boo5506,★Boo5506,★Boo5506,,★Boo5506,,★Boo5506,★Boo5506,,★Boo5506,★Boo5506,★Boo5506,,★Boo5506,★Boo5506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-boo5435,★Boo5435,★Boo5435,★Boo5435,,★Boo5435,,★Boo5435,★Boo5435,,★Boo5435,★Boo5435,★Boo5435,,★Boo5435,★Boo5435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-boo5602,★Boo5602,★Boo5602,★Boo5602,,★Boo5602,,★Boo5602,★Boo5602,,★Boo5602,★Boo5602,★Boo5602,,★Boo5602,★Boo5602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-boo5733,★Boo5733,★Boo5733,★Boo5733,,★Boo5733,,★Boo5733,★Boo5733,,★Boo5733,★Boo5733,★Boo5733,,★Boo5733,★Boo5733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-boo5235,★Boo5235,★Boo5235,★Boo5235,,★Boo5235,,★Boo5235,★Boo5235,,★Boo5235,★Boo5235,★Boo5235,,★Boo5235,★Boo5235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-boo5351,★Boo5351,★Boo5351,★Boo5351,,★Boo5351,,★Boo5351,★Boo5351,,★Boo5351,★Boo5351,★Boo5351,,★Boo5351,★Boo5351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-hya3748,★Hya3748,★Hya3748,★Hya3748,,★Hya3748,,★Hya3748,★Hya3748,,★Hya3748,★Hya3748,★Hya3748,,★Hya3748,★Hya3748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-hya3903,★Hya3903,★Hya3903,★Hya3903,,★Hya3903,,★Hya3903,★Hya3903,,★Hya3903,★Hya3903,★Hya3903,,★Hya3903,★Hya3903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-hya3418,★Hya3418,★Hya3418,★Hya3418,,★Hya3418,,★Hya3418,★Hya3418,,★Hya3418,★Hya3418,★Hya3418,,★Hya3418,★Hya3418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-hya3482,★Hya3482,★Hya3482,★Hya3482,,★Hya3482,,★Hya3482,★Hya3482,,★Hya3482,★Hya3482,★Hya3482,,★Hya3482,★Hya3482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-hya3845,★Hya3845,★Hya3845,★Hya3845,,★Hya3845,,★Hya3845,★Hya3845,,★Hya3845,★Hya3845,★Hya3845,,★Hya3845,★Hya3845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-eri1084,★Eri1084,★Eri1084,★Eri1084,,★Eri1084,,★Eri1084,★Eri1084,,★Eri1084,★Eri1084,★Eri1084,,★Eri1084,★Eri1084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-eri472,★Eri472,★Eri472,★Eri472,,★Eri472,,★Eri472,★Eri472,,★Eri472,★Eri472,★Eri472,,★Eri472,★Eri472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-eri1666,★Eri1666,★Eri1666,★Eri1666,,★Eri1666,,★Eri1666,★Eri1666,,★Eri1666,★Eri1666,★Eri1666,,★Eri1666,★Eri1666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-eri897,★Eri897,★Eri897,★Eri897,,★Eri897,,★Eri897,★Eri897,,★Eri897,★Eri897,★Eri897,,★Eri897,★Eri897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-eri1231,★Eri1231,★Eri1231,★Eri1231,,★Eri1231,,★Eri1231,★Eri1231,,★Eri1231,★Eri1231,★Eri1231,,★Eri1231,★Eri1231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-eri874,★Eri874,★Eri874,★Eri874,,★Eri874,,★Eri874,★Eri874,,★Eri874,★Eri874,★Eri874,,★Eri874,★Eri874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-eri1298,★Eri1298,★Eri1298,★Eri1298,,★Eri1298,,★Eri1298,★Eri1298,,★Eri1298,★Eri1298,★Eri1298,,★Eri1298,★Eri1298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-eri1325,★Eri1325,★Eri1325,★Eri1325,,★Eri1325,,★Eri1325,★Eri1325,,★Eri1325,★Eri1325,★Eri1325,,★Eri1325,★Eri1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-eri984,★Eri984,★Eri984,★Eri984,,★Eri984,,★Eri984,★Eri984,,★Eri984,★Eri984,★Eri984,,★Eri984,★Eri984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-eri1464,★Eri1464,★Eri1464,★Eri1464,,★Eri1464,,★Eri1464,★Eri1464,,★Eri1464,★Eri1464,★Eri1464,,★Eri1464,★Eri1464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-eri1393,★Eri1393,★Eri1393,★Eri1393,,★Eri1393,,★Eri1393,★Eri1393,,★Eri1393,★Eri1393,★Eri1393,,★Eri1393,★Eri1393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-eri850,★Eri850,★Eri850,★Eri850,,★Eri850,,★Eri850,★Eri850,,★Eri850,★Eri850,★Eri850,,★Eri850,★Eri850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-tau1409,★Tau1409,★Tau1409,★Tau1409,,★Tau1409,,★Tau1409,★Tau1409,,★Tau1409,★Tau1409,★Tau1409,,★Tau1409,★Tau1409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-tau1457,★Tau1457,★Tau1457,★Tau1457,,★Tau1457,,★Tau1457,★Tau1457,,★Tau1457,★Tau1457,★Tau1457,,★Tau1457,★Tau1457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-tau1165,★Tau1165,★Tau1165,★Tau1165,,★Tau1165,,★Tau1165,★Tau1165,,★Tau1165,★Tau1165,★Tau1165,,★Tau1165,★Tau1165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-tau1791,★Tau1791,★Tau1791,★Tau1791,,★Tau1791,,★Tau1791,★Tau1791,,★Tau1791,★Tau1791,★Tau1791,,★Tau1791,★Tau1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-tau1910,★Tau1910,★Tau1910,★Tau1910,,★Tau1910,,★Tau1910,★Tau1910,,★Tau1910,★Tau1910,★Tau1910,,★Tau1910,★Tau1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-tau1346,★Tau1346,★Tau1346,★Tau1346,,★Tau1346,,★Tau1346,★Tau1346,,★Tau1346,★Tau1346,★Tau1346,,★Tau1346,★Tau1346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-tau1373,★Tau1373,★Tau1373,★Tau1373,,★Tau1373,,★Tau1373,★Tau1373,,★Tau1373,★Tau1373,★Tau1373,,★Tau1373,★Tau1373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-tau1412,★Tau1412,★Tau1412,★Tau1412,,★Tau1412,,★Tau1412,★Tau1412,,★Tau1412,★Tau1412,★Tau1412,,★Tau1412,★Tau1412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-cma2491,★CMa2491,★CMa2491,★CMa2491,,★CMa2491,,★CMa2491,★CMa2491,,★CMa2491,★CMa2491,★CMa2491,,★CMa2491,★CMa2491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-cma2693,★CMa2693,★CMa2693,★CMa2693,,★CMa2693,,★CMa2693,★CMa2693,,★CMa2693,★CMa2693,★CMa2693,,★CMa2693,★CMa2693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-cma2294,★CMa2294,★CMa2294,★CMa2294,,★CMa2294,,★CMa2294,★CMa2294,,★CMa2294,★CMa2294,★CMa2294,,★CMa2294,★CMa2294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-cma2827,★CMa2827,★CMa2827,★CMa2827,,★CMa2827,,★CMa2827,★CMa2827,,★CMa2827,★CMa2827,★CMa2827,,★CMa2827,★CMa2827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-cma2282,★CMa2282,★CMa2282,★CMa2282,,★CMa2282,,★CMa2282,★CMa2282,,★CMa2282,★CMa2282,★CMa2282,,★CMa2282,★CMa2282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-cma2618,★CMa2618,★CMa2618,★CMa2618,,★CMa2618,,★CMa2618,★CMa2618,,★CMa2618,★CMa2618,★CMa2618,,★CMa2618,★CMa2618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-cma2657,★CMa2657,★CMa2657,★CMa2657,,★CMa2657,,★CMa2657,★CMa2657,,★CMa2657,★CMa2657,★CMa2657,,★CMa2657,★CMa2657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-cma2646,★CMa2646,★CMa2646,★CMa2646,,★CMa2646,,★CMa2646,★CMa2646,,★CMa2646,★CMa2646,★CMa2646,,★CMa2646,★CMa2646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-uma4905,★UMa4905,★UMa4905,★UMa4905,,★UMa4905,,★UMa4905,★UMa4905,,★UMa4905,★UMa4905,★UMa4905,,★UMa4905,★UMa4905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-uma4301,★UMa4301,★UMa4301,★UMa4301,,★UMa4301,,★UMa4301,★UMa4301,,★UMa4301,★UMa4301,★UMa4301,,★UMa4301,★UMa4301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-uma5191,★UMa5191,★UMa5191,★UMa5191,,★UMa5191,,★UMa5191,★UMa5191,,★UMa5191,★UMa5191,★UMa5191,,★UMa5191,★UMa5191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-uma5054,★UMa5054,★UMa5054,★UMa5054,,★UMa5054,,★UMa5054,★UMa5054,,★UMa5054,★UMa5054,★UMa5054,,★UMa5054,★UMa5054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-uma4295,★UMa4295,★UMa4295,★UMa4295,,★UMa4295,,★UMa4295,★UMa4295,,★UMa4295,★UMa4295,★UMa4295,,★UMa4295,★UMa4295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-uma4660,★UMa4660,★UMa4660,★UMa4660,,★UMa4660,,★UMa4660,★UMa4660,,★UMa4660,★UMa4660,★UMa4660,,★UMa4660,★UMa4660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-uma4554,★UMa4554,★UMa4554,★UMa4554,,★UMa4554,,★UMa4554,★UMa4554,,★UMa4554,★UMa4554,★UMa4554,,★UMa4554,★UMa4554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-uma4069,★UMa4069,★UMa4069,★UMa4069,,★UMa4069,,★UMa4069,★UMa4069,,★UMa4069,★UMa4069,★UMa4069,,★UMa4069,★UMa4069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-uma3569,★UMa3569,★UMa3569,★UMa3569,,★UMa3569,,★UMa3569,★UMa3569,,★UMa3569,★UMa3569,★UMa3569,,★UMa3569,★UMa3569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-uma3323,★UMa3323,★UMa3323,★UMa3323,,★UMa3323,,★UMa3323,★UMa3323,,★UMa3323,★UMa3323,★UMa3323,,★UMa3323,★UMa3323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-uma4033,★UMa4033,★UMa4033,★UMa4033,,★UMa4033,,★UMa4033,★UMa4033,,★UMa4033,★UMa4033,★UMa4033,,★UMa4033,★UMa4033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-uma4377,★UMa4377,★UMa4377,★UMa4377,,★UMa4377,,★UMa4377,★UMa4377,,★UMa4377,★UMa4377,★UMa4377,,★UMa4377,★UMa4377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-uma4375,★UMa4375,★UMa4375,★UMa4375,,★UMa4375,,★UMa4375,★UMa4375,,★UMa4375,★UMa4375,★UMa4375,,★UMa4375,★UMa4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-uma4518,★UMa4518,★UMa4518,★UMa4518,,★UMa4518,,★UMa4518,★UMa4518,,★UMa4518,★UMa4518,★UMa4518,,★UMa4518,★UMa4518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-uma3594,★UMa3594,★UMa3594,★UMa3594,,★UMa3594,,★UMa3594,★UMa3594,,★UMa3594,★UMa3594,★UMa3594,,★UMa3594,★UMa3594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-vir5056,★Vir5056,★Vir5056,★Vir5056,,★Vir5056,,★Vir5056,★Vir5056,,★Vir5056,★Vir5056,★Vir5056,,★Vir5056,★Vir5056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-vir4825,★Vir4825,★Vir4825,★Vir4825,,★Vir4825,,★Vir4825,★Vir4825,,★Vir4825,★Vir4825,★Vir4825,,★Vir4825,★Vir4825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-vir4932,★Vir4932,★Vir4932,★Vir4932,,★Vir4932,,★Vir4932,★Vir4932,,★Vir4932,★Vir4932,★Vir4932,,★Vir4932,★Vir4932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-vir4540,★Vir4540,★Vir4540,★Vir4540,,★Vir4540,,★Vir4540,★Vir4540,,★Vir4540,★Vir4540,★Vir4540,,★Vir4540,★Vir4540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-vir4689,★Vir4689,★Vir4689,★Vir4689,,★Vir4689,,★Vir4689,★Vir4689,,★Vir4689,★Vir4689,★Vir4689,,★Vir4689,★Vir4689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-vir5338,★Vir5338,★Vir5338,★Vir5338,,★Vir5338,,★Vir5338,★Vir5338,,★Vir5338,★Vir5338,★Vir5338,,★Vir5338,★Vir5338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-vir4910,★Vir4910,★Vir4910,★Vir4910,,★Vir4910,,★Vir4910,★Vir4910,,★Vir4910,★Vir4910,★Vir4910,,★Vir4910,★Vir4910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-vir5315,★Vir5315,★Vir5315,★Vir5315,,★Vir5315,,★Vir5315,★Vir5315,,★Vir5315,★Vir5315,★Vir5315,,★Vir5315,★Vir5315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-vir5359,★Vir5359,★Vir5359,★Vir5359,,★Vir5359,,★Vir5359,★Vir5359,,★Vir5359,★Vir5359,★Vir5359,,★Vir5359,★Vir5359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamax-crystal-vir5409,★Vir5409,★Vir5409,★Vir5409,,★Vir5409,,★Vir5409,★Vir5409,,★Vir5409,★Vir5409,★Vir5409,,★Vir5409,★Vir5409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
