pokemon,form,version_group,versions,location_area,method,levels,rate_overall,trade_for,note,rate_night,rate_morning,rate_day
magikarp,magikarp,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-230-sinnoh,fishing-old-rod,3 - 10,100%,,,,,
magikarp,magikarp,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-230-sinnoh,fishing-good-rod,10 - 25,55%,,,,,
magikarp,magikarp,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,sunyshore-city,fishing-old-rod,3 - 10,100%,,Added after obtaining the National PokéDex,,,
magikarp,magikarp,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,sunyshore-city,fishing-good-rod,10 - 25,55%,,Added after obtaining the National PokéDex,,,
magikarp,magikarp,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,twinleaf-town,fishing-old-rod,3 - 10,100%,,,,,
magikarp,magikarp,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,twinleaf-town,fishing-good-rod,10 - 25,55%,,,,,
magikarp,magikarp,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,valley-windworks,fishing-old-rod,3 - 10,100%,,,,,
magikarp,magikarp,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,valley-windworks,fishing-good-rod,10 - 25,55%,,,,,
magikarp,magikarp,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,victory-road-sinnoh-b1f,fishing-old-rod,3 - 10,100%,,,,,
magikarp,magikarp,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,victory-road-sinnoh-b1f,fishing-good-rod,10 - 25,100%,,,,,
magikarp,magikarp,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,victory-road-sinnoh-1f-back-2,fishing-old-rod,3 - 10,100%,,Area is only accessible after entering the Hall of Fame and obtaining the National Pokédex,,,
magikarp,magikarp,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,victory-road-sinnoh-1f-back-2,fishing-good-rod,10 - 25,100%,,Area is only accessible after entering the Hall of Fame and obtaining the National Pokédex,,,
magnemite,magnemite,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,fuego-ironworks,swarm,28 - 29,40%,,,,,
magnemite,magnemite,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,glacial-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
magnemite,magnemite,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,glacial-cavern,walking-around,16 - 63,20%,,,,,
magnemite,magnemite,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,icy-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
magnemite,magnemite,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,icy-cave,walking-around,16 - 63,19%,,,,,
magnemite,magnemite,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,spacious-cave,walking-around,16 - 63,19%,,Added after obtaining the National PokéDex,,,
magnemite,magnemite,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,whiteout-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
magnemite,magnemite,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,whiteout-cave,walking-around,16 - 63,19%,,,,,
makuhita,makuhita,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-225-sinnoh,swarm,50 - 51,40%,,,,,
mankey,mankey,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,grassland-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
mankey,mankey,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-225-sinnoh,poke-radar,22,2%,,,,,
mankey,mankey,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-226-sinnoh,poke-radar,22,2%,,,,,
mankey,mankey,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,spacious-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
mankey,mankey,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,sunlit-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
mantyke,mantyke,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,fountainspring-cave,walking-around,50 - 63,varies,,Added after obtaining TM99 (Waterfall),,,
mantyke,mantyke,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,riverbank-cave,walking-around,50 - 63,varies,,Added after obtaining TM99 (Waterfall),,,
mantyke,mantyke,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-223-sinnoh,surfing,30 - 45,10%,,,,,
mantyke,mantyke,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,spacious-cave,walking-around,50 - 63,varies,,Added after obtaining TM99 (Waterfall),,,
mantyke,mantyke,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,still-water-cavern,walking-around,50 - 63,varies,,Added after obtaining TM99 (Waterfall),,,
mantyke,mantyke,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,sunyshore-city,surfing,30 - 45,10%,,Added after obtaining the National PokéDex,,,
mareep,mareep,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,grassland-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
mareep,mareep,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,sunlit-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
mareep,mareep,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,valley-windworks,poke-radar,7 - 9,22%,,,,,
mareep,mareep,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,whiteout-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
marill,marill,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh,surfing,20 - 30,30%,,,,,
marill,marill,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-1,walking-tall-grass,25 - 26,15%,,,,,
marill,marill,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-2,walking-tall-grass,25 - 26,15%,,,,,
marill,marill,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-3,walking-tall-grass,23 - 24,15%,,,,,
marill,marill,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-4,walking-tall-grass,23 - 24,15%,,,,,
marill,marill,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-5,walking-tall-grass,21 - 22,15%,,,,,
marill,marill,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-6,walking-tall-grass,21 - 22,15%,,,,,
marill,marill,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh,walking-tall-grass,"22, 24, 26",10%,,"Pre-National PokéDex only, 1/32 selection chance",,,
marill,marill,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,trophy-garden,mr-backlot,"16, 18",5%,,Added after obtaining the National PokéDex,,,
mawile,mawile,brilliant-diamond-shining-pearl,brilliant-diamond,dazzling-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
mawile,mawile,brilliant-diamond-shining-pearl,brilliant-diamond,stargleam-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
medicham,medicham,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,acuity-lakefront,walking-tall-grass,35 - 36,20%,,,,,
medicham,medicham,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-4f,walking-around,39,10%,,,,,
medicham,medicham,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-2f,walking-around,37,10%,,,,,
medicham,medicham,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-3f,walking-around,37,10%,,,,,
medicham,medicham,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-4f-room-2,walking-around,39,10%,,,,,
medicham,medicham,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-4f-room-3,walking-around,39,10%,,,,,
medicham,medicham,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-5f,walking-around,41,10%,,,,,
medicham,medicham,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-6f,walking-around,41,10%,,,,,
medicham,medicham,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-tunnel-room,walking-around,40,10%,,,,,
medicham,medicham,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-mountainside,walking-tall-grass,39,,,,,10%,10%
medicham,medicham,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-mountainside,walking-tall-grass,40,10%,,,,,
medicham,medicham,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-217-sinnoh,walking-tall-grass,35 - 36,20%,,,,,
medicham,medicham,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,victory-road-sinnoh-1f,walking-around,44 - 46,15%,,,,,
medicham,medicham,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,victory-road-sinnoh-2f,walking-around,45 - 47,15%,,,,,
medicham,medicham,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,victory-road-sinnoh-b1f,walking-around,44 - 46,15%,,,,,
medicham,medicham,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,victory-road-sinnoh-1f-back-1,walking-around,50 - 52,15%,,Area is only accessible after entering the Hall of Fame and obtaining the National Pokédex,,,
medicham,medicham,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,victory-road-sinnoh-1f-back-2,walking-around,50 - 52,15%,,Area is only accessible after entering the Hall of Fame and obtaining the National Pokédex,,,
medicham,medicham,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,victory-road-sinnoh-1f-back-2,walking-around,50 - 52,15%,,Area is only accessible after entering the Hall of Fame and obtaining the National Pokédex,,,
meditite,meditite,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,acuity-lakefront,walking-tall-grass,35,,,,,10%,10%
meditite,meditite,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,dazzling-cave,walking-around,25 - 63,varies,,Added after obtaining TM96 (Strength),,,
meditite,meditite,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-southern-1f-oreburgh-city-hearthome-city-side,walking-around,15,10%,,,,,
meditite,meditite,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-northern-1f-room-1-eterna-city-celestic-town-side,walking-around,13 - 14,25%,,,,,
meditite,meditite,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-b1f,walking-around,31 - 32,25%,,,,,
meditite,meditite,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-northern-1f-room-2,walking-around,31 - 32,25%,,,,,
meditite,meditite,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-208-sinnoh,walking-tall-grass,16,,,,,10%,10%
meditite,meditite,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-208-sinnoh,walking-tall-grass,17,10%,,,,,
meditite,meditite,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-210-sinnoh-northern-foggy-part,walking-tall-grass,24,,,,,10%,10%
meditite,meditite,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-210-sinnoh-northern-foggy-part,walking-tall-grass,25 - 26,20%,,,,,
meditite,meditite,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-211-sinnoh-western-part,walking-tall-grass,12,,,,,10%,10%
meditite,meditite,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-211-sinnoh-western-part,walking-tall-grass,13 - 14,25%,,,,,
meditite,meditite,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-211-sinnoh-eastern-part,walking-tall-grass,27 - 28,35%,,,,,
meditite,meditite,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-216-sinnoh,walking-tall-grass,33,,,,,10%,10%
meditite,meditite,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-216-sinnoh,walking-tall-grass,34,10%,,,,,
meditite,meditite,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-217-sinnoh,walking-tall-grass,35,,,,,10%,10%
meditite,meditite,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,stargleam-cavern,walking-around,25 - 63,varies,,Added after obtaining TM96 (Strength),,,
meditite,meditite,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,whiteout-cave,walking-around,25 - 63,varies,,Added after obtaining TM96 (Strength),,,
meowth,meowth,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,trophy-garden,mr-backlot,"16, 18",5%,,Added after obtaining the National PokéDex,,,
mew,mew,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,floaroma-town,npc-gift,1,one,,Can only be obtained if the Nintendo Switch has save data for {LGPE;GAME;lets-go-pikachu-lets-go-eevee},,,
mewtwo,mewtwo,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,ramanas-park-genome-room,special-encounter,70,one,,Inser the {Genome Slate;ITEM;genome-slate} to battle.,,,
mightyena,mightyena,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,dazzling-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
mightyena,mightyena,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,glacial-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
mightyena,mightyena,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,icy-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
mightyena,mightyena,brilliant-diamond-shining-pearl,brilliant-diamond,route-214-sinnoh,poke-radar,23 - 24,22%,,,,,
mightyena,mightyena,brilliant-diamond-shining-pearl,brilliant-diamond,route-215-sinnoh,poke-radar,"20, 22",22%,,,,,
mightyena,mightyena,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,spacious-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
mightyena,mightyena,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,stargleam-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
miltank,miltank,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,grassland-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
miltank,miltank,brilliant-diamond-shining-pearl,brilliant-diamond,route-209-sinnoh,poke-radar,16,2%,,,,,
miltank,miltank,brilliant-diamond-shining-pearl,shining-pearl,route-209-sinnoh,poke-radar,17,20%,,,,,
miltank,miltank,brilliant-diamond-shining-pearl,brilliant-diamond,route-210-sinnoh-southern-part,poke-radar,20,2%,,,,,
miltank,miltank,brilliant-diamond-shining-pearl,shining-pearl,route-210-sinnoh-southern-part,poke-radar,19,20%,,,,,
miltank,miltank,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,spacious-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
miltank,miltank,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,sunlit-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
mime-jr,mime-jr,brilliant-diamond-shining-pearl,brilliant-diamond,route-209-sinnoh,walking-tall-grass,16,,,,5%,25%,5%
mime-jr,mime-jr,brilliant-diamond-shining-pearl,brilliant-diamond,route-210-sinnoh-southern-part,walking-tall-grass,18,,,,,20%,
mime-jr,mime-jr,brilliant-diamond-shining-pearl,brilliant-diamond,route-210-sinnoh-southern-part,walking-tall-grass,20,5%,,,,,
mime-jr,mime-jr,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,trophy-garden,mr-backlot,"16, 18",5%,,Added after obtaining the National PokéDex,,,
minun,minun,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,trophy-garden,mr-backlot,"16, 18",5%,,Added after obtaining the National PokéDex,,,
misdreavus,misdreavus,brilliant-diamond-shining-pearl,shining-pearl,dazzling-cave,walking-around,16 - 63,varies,,,,,
misdreavus,misdreavus,brilliant-diamond-shining-pearl,shining-pearl,eterna-forest,walking-tall-grass,10 - 11,,,,20%,,
misdreavus,misdreavus,brilliant-diamond-shining-pearl,shining-pearl,lost-tower-1f,walking-around,17,,,,20%,,
misdreavus,misdreavus,brilliant-diamond-shining-pearl,shining-pearl,lost-tower-2f,walking-around,18,,,,20%,,
misdreavus,misdreavus,brilliant-diamond-shining-pearl,shining-pearl,lost-tower-3f,walking-around,19,,,,20%,,
misdreavus,misdreavus,brilliant-diamond-shining-pearl,shining-pearl,lost-tower-4f,walking-around,20,,,,20%,,
misdreavus,misdreavus,brilliant-diamond-shining-pearl,shining-pearl,lost-tower-5f,walking-around,21,,,,20%,,
misdreavus,misdreavus,brilliant-diamond-shining-pearl,shining-pearl,stargleam-cavern,walking-around,16 - 63,varies,,,,,
moltres,moltres,brilliant-diamond-shining-pearl,shining-pearl,ramanas-park-kanto-room,special-encounter,70,one,,Inser the {Kanto Slate;ITEM;kanto-slate} to battle.,,,
mr-mime,mr-mime,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,dazzling-cave,walking-around,42 - 63,varies,,Added after earning the Icicle Badge,,,
mr-mime,mr-mime,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,glacial-cavern,walking-around,25 - 63,varies,,Added after earning the Icicle Badge,,,
mr-mime,mr-mime,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,icy-cave,walking-around,42 - 63,varies,,Added after earning the Icicle Badge,,,
mr-mime,mr-mime,brilliant-diamond-shining-pearl,brilliant-diamond,route-218-sinnoh,walking-tall-grass,29 - 30,15%,,,,,
mr-mime,mr-mime,brilliant-diamond-shining-pearl,brilliant-diamond,route-222-sinnoh,walking-tall-grass,41 - 42,15%,,,,,
mr-mime,mr-mime,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,stargleam-cavern,walking-around,42 - 63,varies,,Added after earning the Icicle Badge,,,
mr-mime,mr-mime,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,whiteout-cave,walking-around,42 - 63,varies,,Added after earning the Icicle Badge,,,
mudkip,mudkip,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,fountainspring-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
mudkip,mudkip,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,riverbank-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
mudkip,mudkip,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,still-water-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
munchlax,munchlax,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,grassland-cave,walking-around,25 - 63,varies,,Added after obtaining TM97 (Defog),,,
munchlax,munchlax,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,riverbank-cave,walking-around,25 - 63,varies,,Added after obtaining TM97 (Defog),,,
munchlax,munchlax,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,spacious-cave,walking-around,25 - 63,varies,,Added after obtaining TM97 (Defog),,,
munchlax,munchlax,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,still-water-cavern,walking-around,25 - 63,varies,,Added after obtaining TM97 (Defog),,,
munchlax,munchlax,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,sunlit-cavern,walking-around,25 - 63,varies,,Added after obtaining TM97 (Defog),,,
munchlax,munchlax,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,whiteout-cave,walking-around,25 - 63,varies,,Added after obtaining TM97 (Defog),,,
murkrow,murkrow,brilliant-diamond-shining-pearl,brilliant-diamond,eterna-forest,walking-tall-grass,10 - 11,,,,20%,,
murkrow,murkrow,brilliant-diamond-shining-pearl,brilliant-diamond,grassland-cave,walking-around,16 - 63,varies,,,,,
murkrow,murkrow,brilliant-diamond-shining-pearl,brilliant-diamond,lost-tower-1f,walking-around,17,,,,20%,,
murkrow,murkrow,brilliant-diamond-shining-pearl,brilliant-diamond,lost-tower-2f,walking-around,18,,,,20%,,
murkrow,murkrow,brilliant-diamond-shining-pearl,brilliant-diamond,lost-tower-3f,walking-around,19,,,,20%,,
murkrow,murkrow,brilliant-diamond-shining-pearl,brilliant-diamond,lost-tower-4f,walking-around,20,,,,20%,,
murkrow,murkrow,brilliant-diamond-shining-pearl,brilliant-diamond,lost-tower-5f,walking-around,21,,,,20%,,
murkrow,murkrow,brilliant-diamond-shining-pearl,brilliant-diamond,riverbank-cave,walking-around,16 - 63,varies,,,,,
murkrow,murkrow,brilliant-diamond-shining-pearl,brilliant-diamond,spacious-cave,walking-around,16 - 63,varies,,,,,
murkrow,murkrow,brilliant-diamond-shining-pearl,brilliant-diamond,still-water-cavern,walking-around,16 - 63,varies,,,,,
murkrow,murkrow,brilliant-diamond-shining-pearl,brilliant-diamond,sunlit-cavern,walking-around,16 - 63,varies,,,,,
natu,natu,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,dazzling-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
natu,natu,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-224-sinnoh,swarm,53,40%,,,,,
natu,natu,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,spacious-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
natu,natu,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,stargleam-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,bogsunk-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,bogsunk-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,bogsunk-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,dazzling-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,dazzling-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,dazzling-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,grassland-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,grassland-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,grassland-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,riverbank-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,riverbank-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,riverbank-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,brilliant-diamond,route-201-sinnoh,poke-radar,3,20%,,,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,shining-pearl,route-201-sinnoh,poke-radar,2,2%,,,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,brilliant-diamond,route-201-sinnoh,poke-radar,2,2%,,,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,shining-pearl,route-201-sinnoh,poke-radar,3,20%,,,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,brilliant-diamond,route-221-sinnoh,poke-radar,29,20%,,,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,shining-pearl,route-221-sinnoh,poke-radar,30,2%,,,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,stargleam-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,stargleam-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,stargleam-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,still-water-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,still-water-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,still-water-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,sunlit-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,sunlit-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,sunlit-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,swampy-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,swampy-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,swampy-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,brilliant-diamond,valor-lakefront,poke-radar,21 - 22,20%,,,,,
nidorina,nidorina,brilliant-diamond-shining-pearl,shining-pearl,valor-lakefront,poke-radar,22,2%,,,,,
nidorino,nidorino,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,bogsunk-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
nidorino,nidorino,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,dazzling-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
nidorino,nidorino,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,grassland-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
nidorino,nidorino,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,riverbank-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
nidorino,nidorino,brilliant-diamond-shining-pearl,brilliant-diamond,route-221-sinnoh,poke-radar,30,2%,,,,,
nidorino,nidorino,brilliant-diamond-shining-pearl,shining-pearl,route-221-sinnoh,poke-radar,29,20%,,,,,
