species,genus_en,genus_ja,genus_ja_hrkt,genus_fr,genus_de,genus_es,genus_es_419,genus_it,genus_ko,genus_zh_hant,genus_zh_hans
482,Willpower Pokémon,いしポケモン,いしポケモン,Pokémon Volonté,Willenskraft-Pokémon,Pokémon Voluntad,Pokémon Voluntad,Pokémon Volontà,의지포켓몬,意志寶可夢,意志宝可梦
483,Temporal Pokémon,じかんポケモン,じかんポケモン,Pokémon Temps,Zeitweilig-Pokémon,Pokémon Temporal,Pokémon Temporal,Pokémon Tempo,시간포켓몬,時間寶可夢,时间宝可梦
484,Spatial Pokémon,くうかんポケモン,くうかんポケモン,Pokémon Espace,Räumlich-Pokémon,Pokémon Espacial,Pokémon Espacial,Pokémon Spazio,공간포켓몬,空間寶可夢,空间宝可梦
485,Lava Dome Pokémon,かこうポケモン,かこうポケモン,Pokémon Caldeira,Lavadom-Pokémon,Pokémon Domo Lava,Pokémon Domo Lava,Pokémon Cratere,화구포켓몬,火山口寶可夢,火山口宝可梦
486,Colossal Pokémon,きょだいポケモン,きょだいポケモン,Pokémon Prodigieux,Kolossal-Pokémon,Pokémon Colosal,Pokémon Colosal,Pokémon Colossale,거대포켓몬,巨大寶可夢,巨大宝可梦
487,Renegade Pokémon,はんこつポケモン,はんこつポケモン,Pokémon Renégat,Rebellen-Pokémon,Pokémon Renegado,Pokémon Renegado,Pokémon Ribelle,반골포켓몬,反抗寶可夢,反抗宝可梦
488,Lunar Pokémon,みかづきポケモン,みかづきポケモン,Pokémon Lunaire,Lunar-Pokémon,Pokémon Lunar,Pokémon Lunar,Pokémon Falcato,초승달포켓몬,新月寶可夢,新月宝可梦
489,Sea Drifter Pokémon,かいようポケモン,かいようポケモン,Pokémon Dérivenmer,Seedrift,Pokémon Marino,Pokémon Marino,Pokémon Oceanbondo,해양포켓몬,海洋寶可夢,海洋宝可梦
490,Seafaring Pokémon,かいゆうポケモン,かいゆうポケモン,Pokémon Voyagenmer,Seefahrer,Pokémon Náutico,Pokémon Náutico,Pokémon Oceandante,회유포켓몬,洄游寶可夢,回游宝可梦
491,Pitch-Black Pokémon,あんこくポケモン,あんこくポケモン,Pokémon Noirtotal,Dunkelnacht,Pokémon Oscuridad,Pokémon Oscuridad,Pokémon Neropesto,암흑포켓몬,暗黑寶可夢,暗黑宝可梦
492,Gratitude Pokémon,かんしゃポケモン,かんしゃポケモン,Pokémon Gratitude,Dankbarkeit,Pokémon Gratitud,Pokémon Gratitud,Pokémon Gratitudine,감사포켓몬,感謝寶可夢,感谢宝可梦
493,Alpha Pokémon,そうぞうポケモン,そうぞうポケモン,Pokémon Alpha,Alpha,Pokémon Alfa,Pokémon Alfa,Pokémon Primevo,창조포켓몬,創造寶可夢,创造宝可梦
494,Victory Pokémon,しょうりポケモン,しょうりポケモン,Pokémon Victoire,Triumph-Pokémon,Pokémon Victoria,Pokémon Victoria,Pokémon Vittoria,승리포켓몬,勝利寶可夢,胜利宝可梦
495,Grass Snake Pokémon,くさへびポケモン,くさへびポケモン,Pokémon Serpenterbe,Grasschlange,Pokémon Serp. Hierba,Pokémon Serp. Hierba,Pokémon Serperba,풀뱀포켓몬,草蛇寶可夢,草蛇宝可梦
496,Grass Snake Pokémon,くさへびポケモン,くさへびポケモン,Pokémon Serpenterbe,Grasschlange,Pokémon Serp. Hierba,Pokémon Serp. Hierba,Pokémon Serperba,풀뱀포켓몬,草蛇寶可夢,草蛇宝可梦
497,Regal Pokémon,ロイヤルポケモン,ロイヤルポケモン,Pokémon Majestueux,Hoheit,Pokémon Realeza,Pokémon Realeza,Pokémon Regale,로열포켓몬,皇家寶可夢,皇家宝可梦
498,Fire Pig Pokémon,ひぶたポケモン,ひぶたポケモン,Pokémon Cochon Feu,Feuerferkel,Pokémon Cerdo Fuego,Pokémon Cerdo Fuego,Pokémon Suinfuoco,불돼지포켓몬,火豬寶可夢,火猪宝可梦
499,Fire Pig Pokémon,ひぶたポケモン,ひぶたポケモン,Pokémon Cochon Feu,Feuerferkel,Pokémon Cerdo Fuego,Pokémon Cerdo Fuego,Pokémon Suinfuoco,불돼지포켓몬,火豬寶可夢,火猪宝可梦
500,Mega Fire Pig Pokémon,おおひぶたポケモン,おおひぶたポケモン,Pokémon Grochon Feu,Feuerschwein,Pokémon Cerdo Ígneo,Pokémon Cerdo Ígneo,Pokémon Suincendio,큰불돼지포켓몬,大火豬寶可夢,大火猪宝可梦
501,Sea Otter Pokémon,ラッコポケモン,ラッコポケモン,Pokémon Loutre,Otter,Pokémon Nutria,Pokémon Nutria,Pokémon Lontra,해달포켓몬,海獺寶可夢,海獭宝可梦
502,Discipline Pokémon,しゅぎょうポケモン,しゅぎょうポケモン,Pokémon Entraînement,Schulung,Pokémon Superación,Pokémon Superación,Pokémon Apprendista,수행포켓몬,修行寶可夢,修行宝可梦
503,Formidable Pokémon,かんろくポケモン,かんろくポケモン,Pokémon Dignitaire,Würde,Pokémon Majestuoso,Pokémon Majestuoso,Pokémon Dignità,관록포켓몬,威嚴寶可夢,威严宝可梦
504,Scout Pokémon,みはりポケモン,みはりポケモン,Pokémon Espion,Späher,Pokémon Explorador,Pokémon Explorador,Pokémon Esplorante,망보기포켓몬,放哨寶可夢,放哨宝可梦
505,Lookout Pokémon,けいかいポケモン,けいかいポケモン,Pokémon Vigilant,Wachsamkeit,Pokémon Alerta,Pokémon Alerta,Pokémon Sentinella,경계포켓몬,警戒寶可夢,警戒宝可梦
506,Puppy Pokémon,こいぬポケモン,こいぬポケモン,Pokémon Chiot,Welpen-Pokémon,Pokémon Perrito,Pokémon Perrito,Pokémon Cagnolino,강아지포켓몬,小狗寶可夢,小狗宝可梦
507,Loyal Dog Pokémon,ちゅうけんポケモン,ちゅうけんポケモン,Pokémon Chien Fidèle,Treuhund-Pokémon,Pokémon Leal,Pokémon Leal,Pokémon Fedeltà,충견포켓몬,忠犬寶可夢,忠犬宝可梦
508,Big-Hearted Pokémon,かんだいポケモン,かんだいポケモン,Pokémon Magnanime,Großmut-Pokémon,Pokémon Magnánimo,Pokémon Magnánimo,Pokémon Generosità,관대포켓몬,寬大寶可夢,宽大宝可梦
509,Devious Pokémon,しょうわるポケモン,しょうわるポケモン,Pokémon Scélérat,Schelm-Pokémon,Pokémon Malicioso,Pokémon Malicioso,Pokémon Furbizia,성악포켓몬,壞心眼寶可夢,坏心眼宝可梦
510,Cruel Pokémon,れいこくポケモン,れいこくポケモン,Pokémon Implacable,Gefühlskälte-Pokémon,Pokémon Calculador,Pokémon Calculador,Pokémon Sanguefreddo,냉혹포켓몬,冷酷寶可夢,冷酷宝可梦
511,Grass Monkey Pokémon,くさざるポケモン,くさざるポケモン,Pokémon Singe Herbe,Grasaffe,Pokémon Mono Hierba,Pokémon Mono Hierba,Pokémon Scimperba,풀원숭이포켓몬,草猴寶可夢,草猴宝可梦
512,Thorn Monkey Pokémon,とげざるポケモン,とげざるポケモン,Pokémon Singépine,Stachelaffe,Pokémon Mono Pincho,Pokémon Mono Pincho,Pokémon Spinpanzé,가시원숭이포켓몬,刺猴寶可夢,刺猴宝可梦
513,High Temp Pokémon,こうおんポケモン,こうおんポケモン,Pokémon Brûlant,Hitze,Pokémon Ardiente,Pokémon Ardiente,Pokémon Testacalda,고온포켓몬,高溫寶可夢,高温宝可梦
514,Ember Pokémon,ひのこポケモン,ひのこポケモン,Pokémon Braise,Funkenregen,Pokémon Lumbre,Pokémon Lumbre,Pokémon Sfavillante,불티포켓몬,火花寶可夢,火花宝可梦
515,Spray Pokémon,みずかけポケモン,みずかけポケモン,Pokémon Jet d’Eau,Wasserstrahl,Pokémon Salpicadura,Pokémon Salpicadura,Pokémon Annaffiatore,물뿌리기포켓몬,潑水寶可夢,泼水宝可梦
516,Geyser Pokémon,ほうすいポケモン,ほうすいポケモン,Pokémon Drainage,Drainage,Pokémon Drenaje,Pokémon Drenaje,Pokémon Spruzzacqua,방수포켓몬,放水寶可夢,放水宝可梦
517,Dream Eater Pokémon,ゆめくいポケモン,ゆめくいポケモン,Pokémon Mangerêve,Traumfresser-Pokémon,Pokémon Comesueños,Pokémon Comesueños,Pokémon Divorasogni,꿈먹기포켓몬,食夢寶可夢,食梦宝可梦
518,Drowsing Pokémon,ゆめうつつポケモン,ゆめうつつポケモン,Pokémon Rêveur,Halbschlaf-Pokémon,Pokémon Duermevela,Pokémon Duermevela,Pokémon Dormiveglia,꿈결포켓몬,半夢半醒寶可夢,半梦半醒宝可梦
519,Tiny Pigeon Pokémon,こばとポケモン,こばとポケモン,Pokémon Tipigeon,Täubchen-Pokémon,Pokémon Pichón,Pokémon Pichón,Pokémon Piccione,아기비둘기포켓몬,小鴿寶可夢,小鸽宝可梦
520,Wild Pigeon Pokémon,のばとポケモン,のばとポケモン,Pokémon Sauvapigeon,Wildtauben-Pokémon,Pokémon Torcaz,Pokémon Torcaz,Pokémon Granpiccione,들비둘기포켓몬,野鴿寶可夢,野鸽宝可梦
521,Proud Pokémon,プライドポケモン,プライドポケモン,Pokémon Fier,Stolz-Pokémon,Pokémon Altanero,Pokémon Altanero,Pokémon Orgoglio,프라이드포켓몬,自尊心寶可夢,自尊心宝可梦
522,Electrified Pokémon,たいでんポケモン,たいでんポケモン,Pokémon Étincélec,Hochspannung,Pokémon Electrizado,Pokémon Electrizado,Pokémon Caricavolt,하전포켓몬,帶電寶可夢,带电宝可梦
523,Thunderbolt Pokémon,らいでんポケモン,らいでんポケモン,Pokémon Foudrélec,Donnerkeil,Pokémon Rayo,Pokémon Rayo,Pokémon Saetta,뇌전포켓몬,雷電寶可夢,雷电宝可梦
524,Mantle Pokémon,マントルポケモン,マントルポケモン,Pokémon Manteau,Erdmantel-Pokémon,Pokémon Manto,Pokémon Manto,Pokémon Placca,맨틀포켓몬,地幔寶可夢,地幔宝可梦
525,Ore Pokémon,こうせきポケモン,こうせきポケモン,Pokémon Minerai,Erz-Pokémon,Pokémon Mineral,Pokémon Mineral,Pokémon Minerale,광석포켓몬,礦石寶可夢,矿石宝可梦
526,Compressed Pokémon,こうあつポケモン,こうあつポケモン,Pokémon Surpression,Kompressions-Pokémon,Pokémon Presurizado,Pokémon Presurizado,Pokémon Pressionalta,고압포켓몬,高壓寶可夢,高压宝可梦
527,Bat Pokémon,こうもりポケモン,こうもりポケモン,Pokémon Chovsouris,Fledermaus-Pokémon,Pokémon Murciélago,Pokémon Murciélago,Pokémon Pipistrello,박쥐포켓몬,蝙蝠寶可夢,蝙蝠宝可梦
528,Courting Pokémon,きゅうあいポケモン,きゅうあいポケモン,Pokémon Cupidon,Balz-Pokémon,Pokémon Galante,Pokémon Galante,Pokémon Cercamore,구애포켓몬,求愛寶可夢,求爱宝可梦
529,Mole Pokémon,もぐらポケモン,もぐらポケモン,Pokémon Taupe,Maulwurf-Pokémon,Pokémon Topo,Pokémon Topo,Pokémon Talpa,두더지포켓몬,鼴鼠寶可夢,鼹鼠宝可梦
530,Subterrene Pokémon,ちていポケモン,ちていポケモン,Pokémon Souterrain,Untergrund-Pokémon,Pokémon Subterráneo,Pokémon Subterráneo,Pokémon Sottoterra,땅밑포켓몬,地底寶可夢,地底宝可梦
531,Hearing Pokémon,ヒヤリングポケモン,ヒヤリングポケモン,Pokémon Audition,Gehör-Pokémon,Pokémon Escucha,Pokémon Escucha,Pokémon Ascolto,히어링포켓몬,聽力寶可夢,听力宝可梦
532,Muscular Pokémon,きんこつポケモン,きんこつポケモン,Pokémon Costaud,Muskel-Pokémon,Pokémon Musculoso,Pokémon Musculoso,Pokémon Forzaimmane,근골포켓몬,筋骨寶可夢,筋骨宝可梦
533,Muscular Pokémon,きんこつポケモン,きんこつポケモン,Pokémon Costaud,Muskel-Pokémon,Pokémon Musculoso,Pokémon Musculoso,Pokémon Forzaimmane,근골포켓몬,筋骨寶可夢,筋骨宝可梦
534,Muscular Pokémon,きんこつポケモン,きんこつポケモン,Pokémon Costaud,Muskel-Pokémon,Pokémon Musculoso,Pokémon Musculoso,Pokémon Forzaimmane,근골포켓몬,筋骨寶可夢,筋骨宝可梦
535,Tadpole Pokémon,おたまポケモン,おたまポケモン,Pokémon Têtard,Kaulquappen-Pokémon,Pokémon Renacuajo,Pokémon Renacuajo,Pokémon Girino,올챙이포켓몬,蝌蚪寶可夢,蝌蚪宝可梦
536,Vibration Pokémon,しんどうポケモン,しんどうポケモン,Pokémon Vibration,Vibrations-Pokémon,Pokémon Vibrante,Pokémon Vibrante,Pokémon Vibrazione,진동포켓몬,震動寶可夢,振动宝可梦
537,Vibration Pokémon,しんどうポケモン,しんどうポケモン,Pokémon Vibration,Vibrations-Pokémon,Pokémon Vibrante,Pokémon Vibrante,Pokémon Vibrazione,진동포켓몬,震動寶可夢,振动宝可梦
538,Judo Pokémon,じゅうどうポケモン,じゅうどうポケモン,Pokémon Judo,Judo-Pokémon,Pokémon Judo,Pokémon Judo,Pokémon Judo,유도포켓몬,柔道寶可夢,柔道宝可梦
539,Karate Pokémon,からてポケモン,からてポケモン,Pokémon Karaté,Karate-Pokémon,Pokémon Kárate,Pokémon Kárate,Pokémon Karate,태권도포켓몬,空手道寶可夢,空手道宝可梦
540,Sewing Pokémon,さいほうポケモン,さいほうポケモン,Pokémon Couture,Schneider,Pokémon Sastre,Pokémon Sastre,Pokémon Grancucito,재봉포켓몬,裁縫寶可夢,裁缝宝可梦
541,Leaf-Wrapped Pokémon,はごもりポケモン,はごもりポケモン,Pokémon Capefeuille,Wickelblatt,Pokémon Arropado,Pokémon Arropado,Pokémon Coprifoglia,잎숨기포켓몬,足不出葉寶可夢,足不出叶宝可梦
542,Nurturing Pokémon,こそだてポケモン,こそだてポケモン,Pokémon Précepteur,Kinderpflege,Pokémon Cuidador,Pokémon Cuidador,Pokémon Balia,육아포켓몬,育兒寶可夢,育儿宝可梦
543,Centipede Pokémon,ムカデポケモン,ムカデポケモン,Pokémon Chilopode,Tausendfüßer-Pokémon,Pokémon Ciempiés,Pokémon Ciempiés,Pokémon Centipede,지네포켓몬,蜈蚣寶可夢,蜈蚣宝可梦
544,Curlipede Pokémon,まゆムカデポケモン,まゆムカデポケモン,Pokémon Coconplopode,Kokonfüßer-Pokémon,Pokémon Pupaciempiés,Pokémon Pupaciempiés,Pokémon Rotopede,눈썹지네포켓몬,繭蜈蚣寶可夢,茧蜈蚣宝可梦
545,Megapede Pokémon,メガムカデポケモン,メガムカデポケモン,Pokémon Mégaplopode,Riesenfüßer-Pokémon,Pokémon Megaciempiés,Pokémon Megaciempiés,Pokémon Megapede,메가지네포켓몬,巨蜈蚣寶可夢,巨蜈蚣宝可梦
546,Cotton Puff Pokémon,わたたまポケモン,わたたまポケモン,Pokémon Boule Coton,Wattebausch-Pokémon,Pokémon Bolalgodón,Pokémon Bolalgodón,Pokémon Cotonpalla,솜뭉치포켓몬,棉球寶可夢,棉球宝可梦
547,Windveiled Pokémon,かぜかくれポケモン,かぜかくれポケモン,Pokémon Vole Vent,Windschatten-Pokémon,Pokémon Vuelalviento,Pokémon Vuelalviento,Pokémon Spiffero,바람숨기포켓몬,風隱寶可夢,风隐宝可梦
548,Bulb Pokémon,ねっこポケモン,ねっこポケモン,Pokémon Racine,Wurzel-Pokémon,Pokémon Bulbo,Pokémon Bulbo,Pokémon Radice,뿌리포켓몬,根莖寶可夢,根茎宝可梦
549,Flowering Pokémon,はなかざりポケモン,はなかざりポケモン,Pokémon Chef-Fleur,Blumenzier-Pokémon,Pokémon Adornofloral,Pokémon Adornofloral,Pokémon Fiorfronzolo,꽃장식포켓몬,花飾寶可夢,花饰宝可梦
550,Hostile Pokémon,らんぼうポケモン,らんぼうポケモン,Pokémon Violent,Grobheits-Pokémon,Pokémon Violento,Pokémon Violento,Pokémon Irruenza,흉포포켓몬,粗暴寶可夢,粗暴宝可梦
551,Desert Croc Pokémon,さばくワニポケモン,さばくワニポケモン,Pokémon Croco Sable,Wüstenkroko-Pokémon,Pokémon Desierdrilo,Pokémon Desierdrilo,Pokémon Sabbiadrillo,사막악어포켓몬,沙漠鱷魚寶可夢,沙漠鳄鱼宝可梦
552,Desert Croc Pokémon,さばくワニポケモン,さばくワニポケモン,Pokémon Croco Sable,Wüstenkroko-Pokémon,Pokémon Desierdrilo,Pokémon Desierdrilo,Pokémon Sabbiadrillo,사막악어포켓몬,沙漠鱷魚寶可夢,沙漠鳄鱼宝可梦
553,Intimidation Pokémon,いかくポケモン,いかくポケモン,Pokémon Intimidation,Abschreckungs-Pokémon,Pokémon Amenazador,Pokémon Amenazador,Pokémon Minaccia,위협포켓몬,威嚇寶可夢,威吓宝可梦
554,Zen Charm Pokémon,だるまポケモン,だるまポケモン,Pokémon Daruma,Lampion-Pokémon,Pokémon Daruma,Pokémon Daruma,Pokémon Daruma,달마포켓몬,不倒翁寶可夢,不倒翁宝可梦
555,Blazing Pokémon,えんじょうポケモン,えんじょうポケモン,Pokémon Enflammé,Lichterloh-Pokémon,Pokémon Candente,Pokémon Candente,Pokémon Altefiamme,염상포켓몬,爆燃寶可夢,爆燃宝可梦
556,Cactus Pokémon,サボテンポケモン,サボテンポケモン,Pokémon Cactus,Kaktus-Pokémon,Pokémon Cactus,Pokémon Cactus,Pokémon Cactus,선인장포켓몬,仙人掌寶可夢,仙人掌宝可梦
557,Rock Inn Pokémon,いしやどポケモン,いしやどポケモン,Pokémon Lithicole,Steinhaus-Pokémon,Pokémon Casapiedra,Pokémon Casapiedra,Pokémon Pietracasa,돌집포켓몬,石居寶可夢,石居宝可梦
558,Stone Home Pokémon,いわやどポケモン,いわやどポケモン,Pokémon Lapidicole,Felshaus-Pokémon,Pokémon Casarroca,Pokémon Casarroca,Pokémon Scogliocasa,바위집포켓몬,岩居寶可夢,岩居宝可梦
559,Shedding Pokémon,だっぴポケモン,だっぴポケモン,Pokémon Mue,Hautwechsel-Pokémon,Pokémon Mudapiel,Pokémon Mudapiel,Pokémon Mutapelle,탈피포켓몬,蛻皮寶可夢,蜕皮宝可梦
560,Hoodlum Pokémon,あくとうポケモン,あくとうポケモン,Pokémon Gang,Halunken-Pokémon,Pokémon Gamberro,Pokémon Gamberro,Pokémon Furfante,악당포켓몬,惡黨寶可夢,恶党宝可梦
561,Avianoid Pokémon,とりもどきポケモン,とりもどきポケモン,Pokémon Similoiseau,Vogelgleich-Pokémon,Pokémon Pseudopájaro,Pokémon Pseudopájaro,Pokémon Pseuduccello,흡사새포켓몬,似鳥寶可夢,似鸟宝可梦
562,Spirit Pokémon,たましいポケモン,たましいポケモン,Pokémon Âme,Seelen-Pokémon,Pokémon Espíritu,Pokémon Espíritu,Pokémon Fatuanima,영혼포켓몬,魂寶可夢,魂宝可梦
563,Coffin Pokémon,かんおけポケモン,かんおけポケモン,Pokémon Cercueil,Sarkophag-Pokémon,Pokémon Sepultura,Pokémon Sepultura,Pokémon Bara,관포켓몬,棺木寶可夢,棺木宝可梦
564,Prototurtle Pokémon,こだいがめポケモン,こだいがめポケモン,Pokémon Tortantique,Urzeitkröten-Pokémon,Pokémon Pretortuga,Pokémon Pretortuga,Pokémon Ancestruga,옛날거북포켓몬,古代龜寶可夢,古代龟宝可梦
565,Prototurtle Pokémon,こだいがめポケモン,こだいがめポケモン,Pokémon Tortantique,Urzeitkröten-Pokémon,Pokémon Pretortuga,Pokémon Pretortuga,Pokémon Ancestruga,옛날거북포켓몬,古代龜寶可夢,古代龟宝可梦
566,First Bird Pokémon,さいこどりポケモン,さいこどりポケモン,Pokémon Oisancien,Urzeitvogel-Pokémon,Pokémon Protopájaro,Pokémon Protopájaro,Pokémon Paleouccello,최초새포켓몬,遠古鳥寶可夢,远古鸟宝可梦
567,First Bird Pokémon,さいこどりポケモン,さいこどりポケモン,Pokémon Oisancien,Urzeitvogel-Pokémon,Pokémon Protopájaro,Pokémon Protopájaro,Pokémon Paleouccello,최초새포켓몬,遠古鳥寶可夢,远古鸟宝可梦
568,Trash Bag Pokémon,ゴミぶくろポケモン,ゴミぶくろポケモン,Pokémon Sac Poubelle,Mülltüten-Pokémon,Pokémon Bolsa Basura,Pokémon Bolsa Basura,Pokémon Spazzatura,쓰레기봉투포켓몬,垃圾袋寶可夢,垃圾袋宝可梦
569,Trash Heap Pokémon,ゴミすてばポケモン,ゴミすてばポケモン,Pokémon Dépotoir,Müllhalden-Pokémon,Pokémon Vertedero,Pokémon Vertedero,Pokémon Discarica,쓰레기장포켓몬,垃圾場寶可夢,垃圾场宝可梦
570,Tricky Fox Pokémon,わるぎつねポケモン,わるぎつねポケモン,Pokémon Sombrenard,Lausefuchs-Pokémon,Pokémon Zorro Pillo,Pokémon Zorro Pillo,Pokémon Malavolpe,나쁜여우포켓몬,惡狐寶可夢,恶狐宝可梦
571,Illusion Fox Pokémon,ばけぎつねポケモン,ばけぎつねポケモン,Pokémon Polymorfox,Polymorfuchs-Pokémon,Pokémon Disfrazorro,Pokémon Disfrazorro,Pokémon Mutevolpe,요괴여우포켓몬,妖狐寶可夢,妖狐宝可梦
572,Chinchilla Pokémon,チンチラポケモン,チンチラポケモン,Pokémon Chinchilla,Chinchilla-Pokémon,Pokémon Chinchilla,Pokémon Chinchilla,Pokémon Cincillà,친칠라포켓몬,栗鼠寶可夢,栗鼠宝可梦
573,Scarf Pokémon,スカーフポケモン,スカーフポケモン,Pokémon Écharpe,Schal-Pokémon,Pokémon Estola,Pokémon Estola,Pokémon Sciarpa,스카프포켓몬,圍巾寶可夢,围巾宝可梦
574,Fixation Pokémon,ぎょうしポケモン,ぎょうしポケモン,Pokémon Dévisageur,Glotz-Pokémon,Pokémon Inquisitivo,Pokémon Inquisitivo,Pokémon Fissosguardo,응시포켓몬,凝視寶可夢,凝视宝可梦
575,Manipulate Pokémon,あやつりポケモン,あやつりポケモン,Pokémon Magouilleur,Manipulator-Pokémon,Pokémon Manipulador,Pokémon Manipulador,Pokémon Raggiro,조작포켓몬,操縱寶可夢,操纵宝可梦
576,Astral Body Pokémon,てんたいポケモン,てんたいポケモン,Pokémon Cosmique,Gestirns-Pokémon,Pokémon Astro,Pokémon Astro,Pokémon Corpoceleste,천체포켓몬,天體寶可夢,天体宝可梦
577,Cell Pokémon,さいぼうポケモン,さいぼうポケモン,Pokémon Cellule,Zellen-Pokémon,Pokémon Célula,Pokémon Célula,Pokémon Cellula,세포포켓몬,細胞寶可夢,细胞宝可梦
578,Mitosis Pokémon,ぶんかつポケモン,ぶんかつポケモン,Pokémon Divisé,Zellteilungs-Pokémon,Pokémon Mitosis,Pokémon Mitosis,Pokémon Scissione,분할포켓몬,分割寶可夢,分割宝可梦
579,Multiplying Pokémon,ぞうふくポケモン,ぞうふくポケモン,Pokémon Multiplié,Vermehrungs-Pokémon,Pokémon Ampliación,Pokémon Ampliación,Pokémon Espansione,증폭포켓몬,增幅寶可夢,增幅宝可梦
580,Water Bird Pokémon,みずどりポケモン,みずどりポケモン,Pokémon Oiseaudo,Wasservogel,Pokémon Ave Agua,Pokémon Ave Agua,Pokémon Alacquatico,물새포켓몬,水鳥寶可夢,水鸟宝可梦
581,White Bird Pokémon,しらとりポケモン,しらとりポケモン,Pokémon Cygne,Schwan,Pokémon Cisne,Pokémon Cisne,Pokémon Biancuccello,백조포켓몬,白鳥寶可夢,白鸟宝可梦
582,Fresh Snow Pokémon,しんせつポケモン,しんせつポケモン,Pokémon Poudreuse,Neuschnee-Pokémon,Pokémon Nieve Fresca,Pokémon Nieve Fresca,Pokémon Nevefresca,신설포켓몬,新雪寶可夢,新雪宝可梦
583,Icy Snow Pokémon,ひょうせつポケモン,ひょうせつポケモン,Pokémon Grêle,Firn-Pokémon,Pokémon Nieve Helada,Pokémon Nieve Helada,Pokémon Geloneve,빙설포켓몬,冰雪寶可夢,冰雪宝可梦
584,Snowstorm Pokémon,ブリザードポケモン,ブリザードポケモン,Pokémon Congère,Schneesturm-Pokémon,Pokémon Nieve Gélida,Pokémon Nieve Gélida,Pokémon Bufera,블리자드포켓몬,暴風雪寶可夢,暴风雪宝可梦
585,Season Pokémon,きせつポケモン,きせつポケモン,Pokémon Saison,Jahreszeit,Pokémon Estacional,Pokémon Estacional,Pokémon Stagione,계절포켓몬,季節寶可夢,季节宝可梦
586,Season Pokémon,きせつポケモン,きせつポケモン,Pokémon Saison,Jahreszeit,Pokémon Estacional,Pokémon Estacional,Pokémon Stagione,계절포켓몬,季節寶可夢,季节宝可梦
587,Sky Squirrel Pokémon,モモンガポケモン,モモンガポケモン,Pokémon Pteromys,Flughörnchen-Pokémon,Pokémon Vuelardilla,Pokémon Vuelardilla,Pokémon Petauro,하늘다람쥐포켓몬,飛鼠寶可夢,飞鼠宝可梦
588,Clamping Pokémon,かぶりつきポケモン,かぶりつきポケモン,Pokémon Carabe,Schnappbiss-Pokémon,Pokémon Bocado,Pokémon Bocado,Pokémon Addentatore,덥석물기포켓몬,啃咬寶可夢,啃咬宝可梦
589,Cavalry Pokémon,きへいポケモン,きへいポケモン,Pokémon Chevalier,Kavallerie-Pokémon,Pokémon Soldado,Pokémon Soldado,Pokémon Cavaliere,기병포켓몬,騎兵寶可夢,骑兵宝可梦
590,Mushroom Pokémon,きのこポケモン,きのこポケモン,Pokémon Champignon,Pilz-Pokémon,Pokémon Hongo,Pokémon Hongo,Pokémon Fungo,버섯포켓몬,蘑菇寶可夢,蘑菇宝可梦
591,Mushroom Pokémon,きのこポケモン,きのこポケモン,Pokémon Champignon,Pilz-Pokémon,Pokémon Hongo,Pokémon Hongo,Pokémon Fungo,버섯포켓몬,蘑菇寶可夢,蘑菇宝可梦
592,Floating Pokémon,ふゆうポケモン,ふゆうポケモン,Pokémon Flottaison,Gleit-Pokémon,Pokémon Ingrávido,Pokémon Ingrávido,Pokémon Fluttuante,부유포켓몬,漂浮寶可夢,漂浮宝可梦
593,Floating Pokémon,ふゆうポケモン,ふゆうポケモン,Pokémon Flottaison,Gleit-Pokémon,Pokémon Ingrávido,Pokémon Ingrávido,Pokémon Fluttuante,부유포켓몬,漂浮寶可夢,漂浮宝可梦
594,Caring Pokémon,かいほうポケモン,かいほうポケモン,Pokémon Soigneur,Fürsorge,Pokémon Socorrista,Pokémon Socorrista,Pokémon Assistenza,돌보기포켓몬,看護寶可夢,看护宝可梦
595,Attaching Pokémon,くっつきポケモン,くっつきポケモン,Pokémon Crampon,Kleben-Pokémon,Pokémon Lapa,Pokémon Lapa,Pokémon Appiccicante,들러붙기포켓몬,吸附寶可夢,吸附宝可梦
596,EleSpider Pokémon,でんきグモポケモン,でんきグモポケモン,Pokémon Araclectrik,Stromspinnen-Pokémon,Pokémon Electroaraña,Pokémon Electroaraña,Pokémon Elettroragno,전기거미포켓몬,電蜘蛛寶可夢,电蜘蛛宝可梦
597,Thorn Seed Pokémon,とげのみポケモン,とげのみポケモン,Pokémon Graine Épine,Dornfrucht-Pokémon,Pokémon Fruto Espina,Pokémon Fruto Espina,Pokémon Spinaseme,가시열매포켓몬,刺果寶可夢,刺果宝可梦
598,Thorn Pod Pokémon,とげだまポケモン,とげだまポケモン,Pokémon Boule Épine,Dornkugel-Pokémon,Pokémon Bola Espina,Pokémon Bola Espina,Pokémon Spinasfere,가시공포켓몬,刺球寶可夢,刺球宝可梦
599,Gear Pokémon,はぐるまポケモン,はぐるまポケモン,Pokémon Engrenage,Getriebe-Pokémon,Pokémon Engranaje,Pokémon Engranaje,Pokémon Ingranaggio,톱니바퀴포켓몬,齒輪寶可夢,齿轮宝可梦
600,Gear Pokémon,はぐるまポケモン,はぐるまポケモン,Pokémon Engrenage,Getriebe-Pokémon,Pokémon Engranaje,Pokémon Engranaje,Pokémon Ingranaggio,톱니바퀴포켓몬,齒輪寶可夢,齿轮宝可梦
