identifier,column,pokeapi,pokedb
delibird-parcel,name_ko,딜리버드의짐,
houndour-fang,name_ja,デルビルのキバ,
houndour-fang,name_fr,Croc de Malosse,
houndour-fang,name_de,Hunduster-Zahn,
houndour-fang,name_es,Colmillo de Houndour,
houndour-fang,name_it,Zanna di Houndour,
houndour-fang,name_ko,델빌의이빨,
phanpy-nail,name_ja,ゴマゾウのツメ,
phanpy-nail,name_fr,Ongle de Phanpy,
phanpy-nail,name_de,Phanpy-Kralle,
phanpy-nail,name_es,Uña de Phanpy,
phanpy-nail,name_it,Unghia di Phanpy,
phanpy-nail,name_ko,코코리의발톱,
stantler-hair,name_ja,オドシシのけ,
stantler-hair,name_fr,Poils de Cerfrousse,
stantler-hair,name_de,Damhirplex-Haar,
stantler-hair,name_es,Pelo de Stantler,
stantler-hair,name_it,Pelo di Stantler,
stantler-hair,name_ko,노라키의털,
larvitar-claw,name_ja,ヨーギラスのツメ,
larvitar-claw,name_fr,Griffe d'Embrylex,
larvitar-claw,name_de,Larvitar-Kralle,
larvitar-claw,name_es,Garra de Larvitar,
larvitar-claw,name_it,Artiglio di Larvitar,
larvitar-claw,name_ko,애버라스의발톱,
wingull-feather,name_ja,キャモメのはね,
wingull-feather,name_fr,Plume de Goélise,
wingull-feather,name_de,Wingull-Feder,
wingull-feather,name_es,Pluma de Wingull,
wingull-feather,name_it,Penna di Wingull,
wingull-feather,name_ko,갈모매의깃털,
ralts-dust,name_ja,ラルトスのおとしもの,
ralts-dust,name_fr,Babiole de Tarsal,
ralts-dust,name_de,Trasla-Material,
ralts-dust,name_es,Pertenencia de Ralts,
ralts-dust,name_it,Oggetto di Ralts,
ralts-dust,name_ko,랄토스의유실물,
surskit-syrup,name_ja,アメタマのミツ,
surskit-syrup,name_fr,Nectar d'Arakdo,
surskit-syrup,name_de,Gehweiher-Nektar,
surskit-syrup,name_es,Néctar de Surskit,
surskit-syrup,name_it,Sciroppo di Surskit,
surskit-syrup,name_ko,비구술의꿀,
shroomish-spores,name_ja,キノココのほうし,
shroomish-spores,name_fr,Spores de Balignon,
shroomish-spores,name_de,Knilz-Spore,
shroomish-spores,name_es,Esporas de Shroomish,
shroomish-spores,name_it,Spore di Shroomish,
shroomish-spores,name_ko,버섯꼬의포자,
slakoth-fur,name_ja,ナマケロのけ,
slakoth-fur,name_fr,Poils de Parecool,
slakoth-fur,name_de,Bummelz-Haar,
slakoth-fur,name_es,Pelo de Slakoth,
slakoth-fur,name_it,Pelo di Slakoth,
slakoth-fur,name_ko,게을로의털,
makuhita-sweat,name_ja,マクノシタのあせ,
makuhita-sweat,name_fr,Sueur de Makuhita,
makuhita-sweat,name_de,Makuhita-Schweiß,
makuhita-sweat,name_es,Sudor de Makuhita,
makuhita-sweat,name_it,Sudore di Makuhita,
makuhita-sweat,name_ko,마크탕의땀,
azurill-fur,name_ja,ルリリのけ,
azurill-fur,name_fr,Poils d'Azurill,
azurill-fur,name_de,Azurill-Haar,
azurill-fur,name_es,Pelo de Azurill,
azurill-fur,name_it,Pelo di Azurill,
azurill-fur,name_ko,루리리의털,
sableye-gem,name_ja,ヤミラミのほうせき,
sableye-gem,name_fr,Joyau de Ténéfix,
sableye-gem,name_de,Zobiris-Edelstein,
sableye-gem,name_es,Gema de Sableye,
sableye-gem,name_it,Gemma di Sableye,
sableye-gem,name_ko,깜까미의보석,
meditite-sweat,name_ja,アサナンのあせ,
meditite-sweat,name_fr,Sueur de Méditikka,
meditite-sweat,name_de,Meditie-Schweiß,
meditite-sweat,name_es,Sudor de Meditite,
meditite-sweat,name_it,Sudore di Meditite,
meditite-sweat,name_ko,요가랑의땀,
gulpin-mucus,name_ja,ゴクリンのねんえき,
gulpin-mucus,name_fr,Mucus de Gloupti,
gulpin-mucus,name_de,Schluppuck-Schleim,
gulpin-mucus,name_es,Secreción de Gulpin,
gulpin-mucus,name_it,Muco di Gulpin,
gulpin-mucus,name_ko,꼴깍몬의점액,
numel-lava,name_ja,ドンメルのようがん,
numel-lava,name_fr,Lave de Chamallot,
numel-lava,name_de,Camaub-Lava,
numel-lava,name_es,Lava de Numel,
numel-lava,name_it,Lava di Numel,
numel-lava,name_ko,둔타의용암,
torkoal-coal,name_ja,コータスのせきたん,
torkoal-coal,name_fr,Charbon de Chartor,
torkoal-coal,name_de,Qurtel-Kohle,
torkoal-coal,name_es,Carbón de Torkoal,
torkoal-coal,name_it,Carbone di Torkoal,
torkoal-coal,name_ko,코터스의석탄,
spoink-pearl,name_ja,バネブーのしんじゅ,
spoink-pearl,name_fr,Perle de Spoink,
spoink-pearl,name_de,Spoink-Perle,
spoink-pearl,name_es,Perla de Spoink,
spoink-pearl,name_it,Perla di Spoink,
spoink-pearl,name_ko,피그점프의진주,
cacnea-needle,name_ja,サボネアのトゲ,
cacnea-needle,name_fr,Épine de Cacnea,
cacnea-needle,name_de,Tuska-Stachel,
cacnea-needle,name_es,Espina de Cacnea,
cacnea-needle,name_it,Spina di Cacnea,
cacnea-needle,name_ko,선인왕의가시,
swablu-fluff,name_ja,チルットのはね,
swablu-fluff,name_fr,Plume de Tylton,
swablu-fluff,name_de,Wablu-Feder,
swablu-fluff,name_es,Pluma de Swablu,
swablu-fluff,name_it,Piuma di Swablu,
swablu-fluff,name_ko,파비코의깃털,
zangoose-claw,name_ja,ザングースのツメ,
zangoose-claw,name_fr,Griffe de Mangriff,
zangoose-claw,name_de,Sengo-Kralle,
zangoose-claw,name_es,Garra de Zangoose,
zangoose-claw,name_it,Artiglio di Zangoose,
zangoose-claw,name_ko,쟝고의발톱,
seviper-fang,name_ja,ハブネークのキバ,
seviper-fang,name_fr,Croc de Séviper,
seviper-fang,name_de,Vipitis-Zahn,
seviper-fang,name_es,Colmillo de Seviper,
seviper-fang,name_it,Zanna di Seviper,
seviper-fang,name_ko,세비퍼의이빨,
barboach-slime,name_ja,ドジョッチのねんえき,
barboach-slime,name_fr,Mucus de Barloche,
barboach-slime,name_de,Schmerbe-Schleim,
barboach-slime,name_es,Secreción de Barboach,
barboach-slime,name_it,Muco di Barboach,
barboach-slime,name_ko,미꾸리의점액,
shuppet-scrap,name_ja,カゲボウズのきれはし,
shuppet-scrap,name_fr,Tissu de Polichombr,
shuppet-scrap,name_de,Shuppet-Fetzen,
shuppet-scrap,name_es,Retal de Shuppet,
shuppet-scrap,name_it,Brandello di Shuppet,
shuppet-scrap,name_ko,어둠대신의천조각,
tropius-leaf,name_ja,トロピウスのはっぱ,
tropius-leaf,name_fr,Feuille de Tropius,
tropius-leaf,name_de,Tropius-Blatt,
tropius-leaf,name_es,Hoja de Tropius,
tropius-leaf,name_it,Foglia di Tropius,
tropius-leaf,name_ko,트로피우스의잎,
snorunt-fur,name_ja,ユキワラシのけ,
snorunt-fur,name_fr,Poils de Stalgamin,
snorunt-fur,name_de,Schneppke-Haar,
snorunt-fur,name_es,Pelo de Snorunt,
snorunt-fur,name_it,Pelo di Snorunt,
snorunt-fur,name_ko,눈꼬마의털,
luvdisc-scales,name_ja,ラブカスのウロコ,
luvdisc-scales,name_fr,Écaille de Lovdisc,
luvdisc-scales,name_de,Liebiskus-Schuppe,
luvdisc-scales,name_es,Escama de Luvdisc,
luvdisc-scales,name_it,Squama di Luvdisc,
luvdisc-scales,name_ko,사랑동이의비늘,
bagon-scales,name_ja,タツベイのウロコ,
bagon-scales,name_fr,Écaille de Draby,
bagon-scales,name_de,Kindwurm-Schuppe,
bagon-scales,name_es,Escama de Bagon,
bagon-scales,name_it,Squama di Bagon,
bagon-scales,name_ko,아공이의비늘,
starly-feather,name_ja,ムックルのはね,
starly-feather,name_fr,Plume d’Étourmi,
starly-feather,name_de,Staralili-Feder,
starly-feather,name_es,Pluma de Starly,
starly-feather,name_it,Penna di Starly,
starly-feather,name_ko,찌르꼬의깃털,
kricketot-shell,name_ja,コロボーシのぬけがら,
kricketot-shell,name_fr,Mue de Crikzik,
kricketot-shell,name_de,Zirpurze-Häutungsrest,
kricketot-shell,name_es,Muda de Kricketot,
kricketot-shell,name_it,Esuvia di Kricketot,
kricketot-shell,name_ko,귀뚤뚜기의허물,
shinx-fang,name_ja,コリンクのキバ,
shinx-fang,name_fr,Croc de Lixy,
shinx-fang,name_de,Sheinux-Zahn,
shinx-fang,name_es,Colmillo de Shinx,
shinx-fang,name_it,Zanna di Shinx,
shinx-fang,name_ko,꼬링크의이빨,
combee-honey,name_ja,ミツハニーのミツ,
combee-honey,name_fr,Nectar d'Apitrini,
combee-honey,name_de,Wadribie-Honig,
combee-honey,name_es,Miel de Combee,
combee-honey,name_it,Nettare di Combee,
combee-honey,name_ko,세꿀버리의꿀,
pachirisu-fur,name_ja,パチリスのけ,
pachirisu-fur,name_fr,Poils de Pachirisu,
pachirisu-fur,name_de,Pachirisu-Haar,
pachirisu-fur,name_es,Pelo de Pachirisu,
pachirisu-fur,name_it,Pelo di Pachirisu,
pachirisu-fur,name_ko,파치리스의털,
buizel-fur,name_ja,ブイゼルのけ,
buizel-fur,name_fr,Poils de Mustébouée,
buizel-fur,name_de,Bamelin-Haar,
buizel-fur,name_es,Pelo de Buizel,
buizel-fur,name_it,Pelo di Buizel,
buizel-fur,name_ko,브이젤의털,
shellos-mucus,name_ja,カラナクシのねんえき,
shellos-mucus,name_fr,Mucus de Sancoki,
shellos-mucus,name_de,Schalellos-Schleim,
shellos-mucus,name_es,Secreción de Shellos,
shellos-mucus,name_it,Bava di Shellos,
shellos-mucus,name_ko,깝질무의점액,
drifloon-gas,name_ja,フワンテのガス,
drifloon-gas,name_fr,Gaz de Baudrive,
drifloon-gas,name_de,Driftlon-Gas,
drifloon-gas,name_es,Gas de Drifloon,
drifloon-gas,name_it,Gas di Drifloon,
drifloon-gas,name_ko,흔들풍손의가스,
stunky-fur,name_ja,スカンプーのけ,
stunky-fur,name_fr,Poils de Moufouette,
stunky-fur,name_de,Skunkapuh-Haar,
stunky-fur,name_es,Pelo de Stunky,
stunky-fur,name_it,Pelo di Stunky,
stunky-fur,name_ko,스컹뿡의털,
bronzor-fragment,name_ja,ドーミラーのかけら,
bronzor-fragment,name_fr,Fragment d'Archéomire,
bronzor-fragment,name_de,Bronzel-Splitter,
bronzor-fragment,name_es,Fragmento de Bronzor,
bronzor-fragment,name_it,Frammento di Bronzor,
bronzor-fragment,name_ko,동미러의조각,
bonsly-tears,name_ja,ウソハチのなみだ,
bonsly-tears,name_fr,Larme de Manzaï,
bonsly-tears,name_de,Mobai-Träne,
bonsly-tears,name_es,Lágrima de Bonsly,
bonsly-tears,name_it,Lacrime di Bonsly,
bonsly-tears,name_ko,꼬지지의눈물,
happiny-dust,name_ja,ピンプクのおとしもの,
happiny-dust,name_fr,Babiole de Ptiravi,
happiny-dust,name_de,Wonneira-Material,
happiny-dust,name_es,Pertenencia de Happiny,
happiny-dust,name_it,Oggetto di Happiny,
happiny-dust,name_ko,핑복의유실물,
spiritomb-fragment,name_ja,ミカルゲのかけら,
spiritomb-fragment,name_fr,Fragment de Spiritomb,
spiritomb-fragment,name_de,Kryppuk-Splitter,
spiritomb-fragment,name_es,Fragmento de Spiritomb,
spiritomb-fragment,name_it,Frammento di Spiritomb,
spiritomb-fragment,name_ko,화강돌의조각,
gible-scales,name_ja,フカマルのウロコ,
gible-scales,name_fr,Écaille de Griknot,
gible-scales,name_de,Kaumalat-Schuppe,
gible-scales,name_es,Escama de Gible,
gible-scales,name_it,Squama di Gible,
gible-scales,name_ko,딥상어동의비늘,
riolu-fur,name_ja,リオルのけ,
riolu-fur,name_fr,Poils de Riolu,
riolu-fur,name_de,Riolu-Haar,
riolu-fur,name_es,Pelo de Riolu,
riolu-fur,name_it,Pelo di Riolu,
riolu-fur,name_ko,리오르의털,
hippopotas-sand,name_ja,ヒポポタスのすな,
hippopotas-sand,name_fr,Sable d'Hippopotas,
hippopotas-sand,name_de,Hippopotas-Sand,
hippopotas-sand,name_es,Arena de Hippopotas,
hippopotas-sand,name_it,Sabbia di Hippopotas,
hippopotas-sand,name_ko,히포포타스의모래,
croagunk-poison,name_ja,グレッグルのどくそ,
croagunk-poison,name_fr,Poison de Cradopaud,
croagunk-poison,name_de,Glibunkel-Toxin,
croagunk-poison,name_es,Toxinas de Croagunk,
croagunk-poison,name_it,Tossine di Croagunk,
croagunk-poison,name_ko,삐딱구리의독소,
finneon-scales,name_ja,ケイコウオのウロコ,
finneon-scales,name_fr,Écaille d’Écayon,
finneon-scales,name_de,Finneon-Schuppe,
finneon-scales,name_es,Escama de Finneon,
finneon-scales,name_it,Squama di Finneon,
finneon-scales,name_ko,형광어의비늘,
snover-berries,name_ja,ユキカブリのみ,
snover-berries,name_fr,Baie de Blizzi,
snover-berries,name_de,Shnebedeck-Beere,
snover-berries,name_es,Baya de Snover,
snover-berries,name_it,Bacca di Snover,
snover-berries,name_ko,눈쓰개의열매,
rotom-sparks,name_ja,ロトムのでんき,
rotom-sparks,name_fr,Électricité de Motisma,
rotom-sparks,name_de,Rotom-Strom,
rotom-sparks,name_es,Electricidad de Rotom,
rotom-sparks,name_it,Elettricità di Rotom,
rotom-sparks,name_ko,로토무의전기,
petilil-leaf,name_ja,チュリネのはっぱ,
petilil-leaf,name_fr,Feuille de Chlorobule,
petilil-leaf,name_de,Lilminip-Blatt,
petilil-leaf,name_es,Hoja de Petilil,
petilil-leaf,name_it,Foglia di Petilil,
petilil-leaf,name_ko,치릴리의잎,
basculin-fang,name_ja,バスラオのキバ,
basculin-fang,name_fr,Croc de Bargantua,
basculin-fang,name_de,Barschuft-Zahn,
basculin-fang,name_es,Colmillo de Basculin,
basculin-fang,name_it,Dente di Basculin,
basculin-fang,name_ko,배쓰나이의이빨,
sandile-claw,name_ja,メグロコのツメ,
sandile-claw,name_fr,Griffe de Mascaïman,
sandile-claw,name_de,Ganovil-Kralle,
sandile-claw,name_es,Garra de Sandile,
sandile-claw,name_it,Artiglio di Sandile,
sandile-claw,name_ko,깜눈크의발톱,
zorua-fur,name_ja,ゾロアのけ,
zorua-fur,name_fr,Poils de Zorua,
zorua-fur,name_de,Zorua-Haar,
zorua-fur,name_es,Pelo de Zorua,
zorua-fur,name_it,Pelo di Zorua,
zorua-fur,name_ko,조로아의털,
gothita-eyelash,name_ja,ゴチムのまつげ,
gothita-eyelash,name_fr,Cils de Scrutella,
gothita-eyelash,name_de,Mollimorba-Wimper,
gothita-eyelash,name_es,Pestaña de Gothita,
gothita-eyelash,name_it,Ciglia di Gothita,
gothita-eyelash,name_ko,고디탱의속눈썹,
deerling-hair,name_ja,シキジカのけ,
deerling-hair,name_fr,Poils de Vivaldaim,
deerling-hair,name_de,Sesokitz-Haar,
deerling-hair,name_es,Pelo de Deerling,
deerling-hair,name_it,Pelo di Deerling,
deerling-hair,name_ko,사철록의털,
foongus-spores,name_ja,タマゲタケのほうし,
foongus-spores,name_fr,Spores de Trompignon,
foongus-spores,name_de,Tarnpignon-Spore,
foongus-spores,name_es,Esporas de Foongus,
foongus-spores,name_it,Spore di Foongus,
foongus-spores,name_ko,깜놀버슬의포자,
alomomola-mucus,name_ja,ママンボウのねんえき,
alomomola-mucus,name_fr,Mucus de Mamanbo,
alomomola-mucus,name_de,Mamolida-Schleim,
alomomola-mucus,name_es,Secreción de Alomomola,
alomomola-mucus,name_it,Muco di Alomomola,
alomomola-mucus,name_ko,맘복치의점액,
tynamo-slime,name_ja,シビシラスのねんえき,
tynamo-slime,name_fr,Mucus d'Anchwatt,
tynamo-slime,name_de,Zapplardin-Schleim,
tynamo-slime,name_es,Secreción de Tynamo,
tynamo-slime,name_it,Muco di Tynamo,
tynamo-slime,name_ko,저리어의점액,
axew-scales,name_ja,キバゴのウロコ,
axew-scales,name_fr,Écaille de Coupenotte,
axew-scales,name_de,Milza-Schuppe,
axew-scales,name_es,Escama de Axew,
axew-scales,name_it,Squama di Axew,
axew-scales,name_ko,터검니의비늘,
cubchoo-fur,name_ja,クマシュンのけ,
cubchoo-fur,name_fr,Poils de Polarhume,
cubchoo-fur,name_de,Petznief-Haar,
cubchoo-fur,name_es,Pelo de Cubchoo,
cubchoo-fur,name_it,Pelo di Cubchoo,
cubchoo-fur,name_ko,코고미의털,
cryogonal-ice,name_ja,フリージオのこおり,
cryogonal-ice,name_fr,Glace d'Hexagel,
cryogonal-ice,name_de,Frigometri-Eis,
cryogonal-ice,name_es,Hielo de Cryogonal,
cryogonal-ice,name_it,Ghiaccio di Cryogonal,
cryogonal-ice,name_ko,프리지오의얼음,
pawniard-blade,name_ja,コマタナのやいば,
pawniard-blade,name_fr,Lame de Scalpion,
pawniard-blade,name_de,Gladiantri-Klinge,
pawniard-blade,name_es,Cuchilla de Pawniard,
pawniard-blade,name_it,Lama di Pawniard,
pawniard-blade,name_ko,자망칼의칼날,
rufflet-feather,name_ja,ワシボンのはね,
rufflet-feather,name_fr,Plume de Furaiglon,
rufflet-feather,name_de,Geronimatz-Feder,
rufflet-feather,name_es,Pluma de Rufflet,
rufflet-feather,name_it,Penna di Rufflet,
rufflet-feather,name_ko,수리둥보의깃털,
deino-scales,name_ja,モノズのウロコ,
deino-scales,name_fr,Écaille de Solochi,
deino-scales,name_de,Kapuno-Schuppe,
deino-scales,name_es,Escama de Deino,
deino-scales,name_it,Squama di Deino,
deino-scales,name_ko,모노두의비늘,
larvesta-fuzz,name_ja,メラルバのけ,
larvesta-fuzz,name_fr,Poils de Pyronille,
larvesta-fuzz,name_de,Ignivor-Haar,
larvesta-fuzz,name_es,Pelo de Larvesta,
larvesta-fuzz,name_it,Pelo di Larvesta,
larvesta-fuzz,name_ko,활화르바의털,
fletchling-feather,name_ja,ヤヤコマのはね,
fletchling-feather,name_fr,Plume de Passerouge,
fletchling-feather,name_de,Dartiri-Feder,
fletchling-feather,name_es,Pluma de Fletchling,
fletchling-feather,name_it,Penna di Fletchling,
fletchling-feather,name_ko,화살꼬빈의깃털,
scatterbug-powder,name_ja,コフキムシのこな,
scatterbug-powder,name_fr,Poudre de Lépidonille,
scatterbug-powder,name_de,Purmel-Puder,
scatterbug-powder,name_es,Polvo de Scatterbug,
scatterbug-powder,name_it,Polvere di Scatterbug,
scatterbug-powder,name_ko,분이벌레의가루,
litleo-tuft,name_ja,シシコのたてがみ,
litleo-tuft,name_fr,Crinière d'Hélionceau,
litleo-tuft,name_de,Leufeo-Mähnenhaar,
litleo-tuft,name_es,Mechón de Litleo,
litleo-tuft,name_it,Crine di Litleo,
litleo-tuft,name_ko,레오꼬의갈기,
flabebe-pollen,name_ja,フラベベのかふん,
flabebe-pollen,name_fr,Pollen de Flabébé,
flabebe-pollen,name_de,Flabébé-Pollen,
flabebe-pollen,name_es,Polen de Flabébé,
flabebe-pollen,name_it,Polline di Flabébé,
flabebe-pollen,name_ko,플라베베의꽃가루,
skiddo-leaf,name_ja,メェークルのはっぱ,
skiddo-leaf,name_fr,Feuille de Cabriolaine,
skiddo-leaf,name_de,Mähikel-Blatt,
skiddo-leaf,name_es,Hoja de Skiddo,
skiddo-leaf,name_it,Foglia di Skiddo,
skiddo-leaf,name_ko,메이클의잎,
skrelp-kelp,name_ja,クズモーのもくず,
skrelp-kelp,name_fr,Algue de Venalgue,
skrelp-kelp,name_de,Algitt-Alge,
skrelp-kelp,name_es,Alga de Skrelp,
skrelp-kelp,name_it,Alga di Skrelp,
skrelp-kelp,name_ko,수레기의해초,
clauncher-claw,name_ja,ウデッポウのハサミ,
clauncher-claw,name_fr,Pince de Flingouste,
clauncher-claw,name_de,Scampisto-Schere,
clauncher-claw,name_es,Pinza de Clauncher,
clauncher-claw,name_it,Chela di Clauncher,
clauncher-claw,name_ko,완철포의집게,
hawlucha-down,name_ja,ルチャブルのうもう,
hawlucha-down,name_fr,Duvet de Brutalibré,
hawlucha-down,name_de,Resladero-Daune,
hawlucha-down,name_es,Plumón de Hawlucha,
hawlucha-down,name_it,Piuma di Hawlucha,
hawlucha-down,name_ko,루차불의솜털,
dedenne-fur,name_ja,デデンネのけ,
dedenne-fur,name_fr,Poils de Dedenne,
dedenne-fur,name_de,Dedenne-Haar,
dedenne-fur,name_es,Pelo de Dedenne,
dedenne-fur,name_it,Pelo di Dedenne,
dedenne-fur,name_ko,데덴네의털,
goomy-goo,name_ja,ヌメラのねんえき,
goomy-goo,name_fr,Mucus de Mucuscule,
goomy-goo,name_de,Viscora-Schleim,
goomy-goo,name_es,Secreción de Goomy,
goomy-goo,name_it,Bava di Goomy,
goomy-goo,name_ko,미끄메라의점액,
klefki-key,name_ja,クレッフィのかぎ,
klefki-key,name_fr,Clé de Trousselin,
klefki-key,name_de,Clavion-Schlüssel,
klefki-key,name_es,Llave de Klefki,
klefki-key,name_it,Chiave di Klefki,
klefki-key,name_ko,클레피의열쇠,
bergmite-ice,name_ja,カチコールのこおり,
bergmite-ice,name_fr,Glace de Grelaçon,
bergmite-ice,name_de,Arktip-Eis,
bergmite-ice,name_es,Hielo de Bergmite,
bergmite-ice,name_it,Ghiaccio di Bergmite,
bergmite-ice,name_ko,꽁어름의얼음,
noibat-fur,name_ja,オンバットのけ,
noibat-fur,name_fr,Poils de Sonistrelle,
noibat-fur,name_de,eF-eM-Haar,
noibat-fur,name_es,Pelo de Noibat,
noibat-fur,name_it,Pelo di Noibat,
noibat-fur,name_ko,음뱃의털,
yungoos-fur,name_ja,ヤングースのけ,
yungoos-fur,name_fr,Poils de Manglouton,
yungoos-fur,name_de,Mangunior-Haar,
yungoos-fur,name_es,Pelo de Yungoos,
yungoos-fur,name_it,Pelo di Yungoos,
yungoos-fur,name_ko,영구스의털,
crabrawler-shell,name_ja,マケンカニのから,
crabrawler-shell,name_fr,Carapace de Crabagarre,
crabrawler-shell,name_de,Krabbox-Schale,
crabrawler-shell,name_es,Cáscara de Crabrawler,
crabrawler-shell,name_it,Carapace di Crabrawler,
crabrawler-shell,name_ko,오기지게의껍데기,
oricorio-feather,name_ja,オドリドリのはね,
oricorio-feather,name_fr,Plume de Plumeline,
oricorio-feather,name_de,Choreogel-Feder,
oricorio-feather,name_es,Pluma de Oricorio,
oricorio-feather,name_it,Penna di Oricorio,
oricorio-feather,name_ko,춤추새의깃털,
rockruff-rock,name_ja,イワンコのいわ,
rockruff-rock,name_fr,Roche de Rocabot,
rockruff-rock,name_de,Wuffels-Stein,
rockruff-rock,name_es,Roca de Rockruff,
rockruff-rock,name_it,Roccia di Rockruff,
rockruff-rock,name_ko,암멍이의바위,
mareanie-spike,name_ja,ヒドイデのトゲ,
mareanie-spike,name_fr,Épine de Vorastérie,
mareanie-spike,name_de,Garstella-Stachel,
mareanie-spike,name_es,Aguijón de Mareanie,
mareanie-spike,name_it,Aculeo di Mareanie,
mareanie-spike,name_ko,시마사리의가시,
mudbray-mud,name_ja,ドロバンコのどろ,
mudbray-mud,name_fr,Boue de Tiboudet,
mudbray-mud,name_de,Pampuli-Schlamm,
mudbray-mud,name_es,Lodo de Mudbray,
mudbray-mud,name_it,Fango di Mudbray,
mudbray-mud,name_ko,머드나기의진흙,
fomantis-leaf,name_ja,カリキリのはっぱ,
fomantis-leaf,name_fr,Feuille de Mimantis,
fomantis-leaf,name_de,Imantis-Blatt,
fomantis-leaf,name_es,Hoja de Fomantis,
fomantis-leaf,name_it,Foglia di Fomantis,
fomantis-leaf,name_ko,짜랑랑의잎,
salandit-gas,name_ja,ヤトウモリのガス,
salandit-gas,name_fr,Gaz de Tritox,
salandit-gas,name_de,Molunk-Gas,
salandit-gas,name_es,Gas de Salandit,
salandit-gas,name_it,Gas di Salandit,
salandit-gas,name_ko,야도뇽의가스,
bounsweet-sweat,name_ja,アマカジのあせ,
bounsweet-sweat,name_fr,Sueur de Croquine,
bounsweet-sweat,name_de,Frubberl-Schweiß,
bounsweet-sweat,name_es,Sudor de Bounsweet,
bounsweet-sweat,name_it,Sudore di Bounsweet,
bounsweet-sweat,name_ko,달콤아의땀,
oranguru-fur,name_ja,ヤレユータンのけ,
oranguru-fur,name_fr,Poils de Gouroutan,
oranguru-fur,name_de,Kommandutan-Haar,
oranguru-fur,name_es,Pelo de Oranguru,
oranguru-fur,name_it,Pelo di Oranguru,
oranguru-fur,name_ko,하랑우탄의털,
passimian-fur,name_ja,ナゲツケサルのけ,
passimian-fur,name_fr,Poils de Quartermac,
passimian-fur,name_de,Quartermak-Haar,
passimian-fur,name_es,Pelo de Passimian,
passimian-fur,name_it,Pelo di Passimian,
passimian-fur,name_ko,내던숭이의털,
sandygast-sand,name_ja,スナバァのすな,
sandygast-sand,name_fr,Sable de Bacabouh,
sandygast-sand,name_de,Sankabuh-Sand,
sandygast-sand,name_es,Arena de Sandygast,
sandygast-sand,name_it,Sabbia di Sandygast,
sandygast-sand,name_ko,모래꿍의모래,
komala-claw,name_ja,ネッコアラのツメ,
komala-claw,name_fr,Griffe de Dodoala,
komala-claw,name_de,Koalelu-Kralle,
komala-claw,name_es,Garra de Komala,
komala-claw,name_it,Artiglio di Komala,
komala-claw,name_ko,자말라의발톱,
mimikyu-scrap,name_ja,ミミッキュのきれはし,
mimikyu-scrap,name_fr,Tissu de Mimiqui,
mimikyu-scrap,name_de,Mimigma-Fetzen,
mimikyu-scrap,name_es,Retal de Mimikyu,
mimikyu-scrap,name_it,Brandello di Mimikyu,
mimikyu-scrap,name_ko,따라큐의천조각,
bruxish-tooth,name_ja,ハギギシリのは,
bruxish-tooth,name_fr,Dent de Denticrisse,
bruxish-tooth,name_de,Knirfish-Zahn,
bruxish-tooth,name_es,Diente de Bruxish,
bruxish-tooth,name_it,Dente di Bruxish,
bruxish-tooth,name_ko,치갈기의이빨,
chewtle-claw,name_ja,カムカメのツメ,
chewtle-claw,name_fr,Griffe de Khélocrok,
chewtle-claw,name_de,Kamehaps-Kralle,
chewtle-claw,name_es,Garra de Chewtle,
chewtle-claw,name_it,Unghia di Chewtle,
chewtle-claw,name_ko,깨물부기의발톱,
skwovet-fur,name_ja,ホシガリスのけ,
skwovet-fur,name_fr,Poils de Rongourmand,
skwovet-fur,name_de,Raffel-Haar,
skwovet-fur,name_es,Pelo de Skwovet,
skwovet-fur,name_it,Pelo di Skwovet,
skwovet-fur,name_ko,탐리스의털,
arrokuda-scales,name_ja,サシカマスのウロコ,
arrokuda-scales,name_fr,Écaille d'Embrochet,
arrokuda-scales,name_de,Pikuda-Schuppe,
arrokuda-scales,name_es,Escama de Arrokuda,
arrokuda-scales,name_it,Squama di Arrokuda,
arrokuda-scales,name_ko,찌로꼬치의비늘,
rookidee-feather,name_ja,ココガラのはね,
rookidee-feather,name_fr,Plume de Minisange,
rookidee-feather,name_de,Meikro-Feder,
rookidee-feather,name_es,Pluma de Rookidee,
rookidee-feather,name_it,Penna di Rookidee,
rookidee-feather,name_ko,파라꼬의깃털,
toxel-sparks,name_ja,エレズンのでんき,
toxel-sparks,name_fr,Électricité de Toxizap,
toxel-sparks,name_de,Toxel-Strom,
toxel-sparks,name_es,Electricidad de Toxel,
toxel-sparks,name_it,Elettricità di Toxel,
toxel-sparks,name_ko,일레즌의전기,
falinks-sweat,name_ja,タイレーツのあせ,
falinks-sweat,name_fr,Sueur d'Hexadron,
falinks-sweat,name_de,Legios-Schweiß,
falinks-sweat,name_es,Sudor de Falinks,
falinks-sweat,name_it,Sudore di Falinks,
falinks-sweat,name_ko,대여르의땀,
cufant-tarnish,name_ja,ゾウドウのさび,
cufant-tarnish,name_fr,Rouille de Charibari,
cufant-tarnish,name_de,Kupfanti-Patina,
cufant-tarnish,name_es,Óxido de Cufant,
cufant-tarnish,name_it,Ruggine di Cufant,
cufant-tarnish,name_ko,끼리동의녹,
rolycoly-coal,name_ja,タンドンのせきたん,
rolycoly-coal,name_fr,Charbon de Charbi,
rolycoly-coal,name_de,Klonkett-Kohle,
rolycoly-coal,name_es,Carbón de Rolycoly,
rolycoly-coal,name_it,Carbone di Rolycoly,
