pokedb_form,pokemon,form,how
cinderace-gigantamax,cinderace-gmax,cinderace-gmax,suffix
inteleon-gigantamax,inteleon-gmax,inteleon-gmax,suffix
corviknight-gigantamax,corviknight-gmax,corviknight-gmax,suffix
orbeetle-gigantamax,orbeetle-gmax,orbeetle-gmax,suffix
drednaw-gigantamax,drednaw-gmax,drednaw-gmax,suffix
coalossal-gigantamax,coalossal-gmax,coalossal-gmax,suffix
flapple-gigantamax,flapple-gmax,flapple-gmax,suffix
appletun-gigantamax,appletun-gmax,appletun-gmax,suffix
sandaconda-gigantamax,sandaconda-gmax,sandaconda-gmax,suffix
toxtricity-gigantamax,toxtricity-amped-gmax,toxtricity-amped-gmax,hand
centiskorch-gigantamax,centiskorch-gmax,centiskorch-gmax,suffix
hatterene-gigantamax,hatterene-gmax,hatterene-gmax,suffix
grimmsnarl-gigantamax,grimmsnarl-gmax,grimmsnarl-gmax,suffix
alcremie-gigantamax,alcremie-gmax,alcremie-gmax,suffix
copperajah-gigantamax,copperajah-gmax,copperajah-gmax,suffix
duraludon-gigantamax,duraludon-gmax,duraludon-gmax,suffix
urshifu-gigantamax-single-strike,urshifu-single-strike-gmax,urshifu-single-strike-gmax,hand
urshifu-gigantamax-rapid-strike,urshifu-rapid-strike-gmax,urshifu-rapid-strike-gmax,hand
pyroar-female,pyroar-male,pyroar-female,cosmetic
ursaluna-bloodmoon,ursaluna-bloodmoon,ursaluna-bloodmoon,suffix
unown-a,unown,unown-a,cosmetic
unown-b,unown,unown-b,cosmetic
unown-c,unown,unown-c,cosmetic
unown-d,unown,unown-d,cosmetic
unown-e,unown,unown-e,cosmetic
unown-f,unown,unown-f,cosmetic
unown-g,unown,unown-g,cosmetic
unown-h,unown,unown-h,cosmetic
unown-i,unown,unown-i,cosmetic
unown-j,unown,unown-j,cosmetic
unown-k,unown,unown-k,cosmetic
unown-l,unown,unown-l,cosmetic
unown-m,unown,unown-m,cosmetic
unown-n,unown,unown-n,cosmetic
unown-o,unown,unown-o,cosmetic
unown-p,unown,unown-p,cosmetic
unown-q,unown,unown-q,cosmetic
unown-r,unown,unown-r,cosmetic
unown-s,unown,unown-s,cosmetic
unown-t,unown,unown-t,cosmetic
unown-u,unown,unown-u,cosmetic
unown-v,unown,unown-v,cosmetic
unown-w,unown,unown-w,cosmetic
unown-x,unown,unown-x,cosmetic
unown-y,unown,unown-y,cosmetic
unown-z,unown,unown-z,cosmetic
unown-exclamation-mark,unown,unown-exclamation,hand
unown-question-mark,unown,unown-question,hand
arceus-normal,arceus,arceus-normal,cosmetic
arceus-fighting,arceus,arceus-fighting,cosmetic
arceus-flying,arceus,arceus-flying,cosmetic
arceus-poison,arceus,arceus-poison,cosmetic
arceus-ground,arceus,arceus-ground,cosmetic
arceus-rock,arceus,arceus-rock,cosmetic
arceus-bug,arceus,arceus-bug,cosmetic
arceus-ghost,arceus,arceus-ghost,cosmetic
arceus-steel,arceus,arceus-steel,cosmetic
arceus-fire,arceus,arceus-fire,cosmetic
arceus-water,arceus,arceus-water,cosmetic
arceus-grass,arceus,arceus-grass,cosmetic
arceus-electric,arceus,arceus-electric,cosmetic
arceus-psychic,arceus,arceus-psychic,cosmetic
arceus-ice,arceus,arceus-ice,cosmetic
arceus-dragon,arceus,arceus-dragon,cosmetic
arceus-dark,arceus,arceus-dark,cosmetic
arceus-fairy,arceus,arceus-fairy,cosmetic
florges-white,florges,florges-white,cosmetic
silvally-normal,silvally,silvally-normal,cosmetic
silvally-fighting,silvally,silvally-fighting,cosmetic
silvally-flying,silvally,silvally-flying,cosmetic
silvally-poison,silvally,silvally-poison,cosmetic
silvally-ground,silvally,silvally-ground,cosmetic
silvally-rock,silvally,silvally-rock,cosmetic
silvally-bug,silvally,silvally-bug,cosmetic
silvally-ghost,silvally,silvally-ghost,cosmetic
silvally-steel,silvally,silvally-steel,cosmetic
silvally-fire,silvally,silvally-fire,cosmetic
silvally-water,silvally,silvally-water,cosmetic
silvally-grass,silvally,silvally-grass,cosmetic
silvally-electric,silvally,silvally-electric,cosmetic
silvally-psychic,silvally,silvally-psychic,cosmetic
silvally-ice,silvally,silvally-ice,cosmetic
silvally-dragon,silvally,silvally-dragon,cosmetic
silvally-dark,silvally,silvally-dark,cosmetic
silvally-fairy,silvally,silvally-fairy,cosmetic
koraidon-limited,koraidon,koraidon-limited-build,hand
koraidon-sprinting,koraidon,koraidon-sprinting-build,hand
koraidon-swimming,koraidon,koraidon-swimming-build,hand
koraidon-gliding,koraidon,koraidon-gliding-build,hand
miraidon-low-power,miraidon,miraidon-low-power-mode,hand
miraidon-drive,miraidon,miraidon-drive-mode,hand
miraidon-aquatic,miraidon,miraidon-aquatic-mode,hand
miraidon-glide,miraidon,miraidon-glide-mode,hand
pikachu-partner,pikachu-starter,pikachu-starter,hand
eevee-partner,eevee-starter,eevee-starter,hand
pichu-spiky-ears,pichu,pichu-spiky-eared,hand
raticate-totem,raticate,raticate,hand
raticate-alolan-totem,raticate-totem-alola,raticate-totem-alola,hand
pikachu-pop-star,pikachu-pop-star,pikachu-pop-star,suffix
pikachu-rock-star,pikachu-rock-star,pikachu-rock-star,suffix
marowak-alolan-totem,marowak-totem,marowak-totem,hand
gumshoos-totem,gumshoos-totem,gumshoos-totem,suffix
vikavolt-totem,vikavolt-totem,vikavolt-totem,suffix
ribombee-totem,ribombee-totem,ribombee-totem,suffix
araquanid-totem,araquanid-totem,araquanid-totem,suffix
lurantis-totem,lurantis-totem,lurantis-totem,suffix
salazzle-totem,salazzle-totem,salazzle-totem,suffix
togedemaru-totem,togedemaru-totem,togedemaru-totem,suffix
mimikyu-totem,mimikyu-totem-disguised,mimikyu-totem-disguised,hand
kommo-o-totem,kommo-o-totem,kommo-o-totem,suffix
sinistea-phony,sinistea,sinistea-phony,cosmetic
polteageist-phony,polteageist,polteageist-phony,cosmetic
poltchageist-counterfeit,poltchageist,poltchageist-counterfeit,cosmetic
sinistcha-unremarkable,sinistcha,sinistcha-unremarkable,cosmetic
clefable-mega-evolution,clefable-mega,clefable-mega,suffix
victreebel-mega-evolution,victreebel-mega,victreebel-mega,suffix
starmie-mega-evolution,starmie-mega,starmie-mega,suffix
dragonite-mega-evolution,dragonite-mega,dragonite-mega,suffix
meganium-mega-evolution,meganium-mega,meganium-mega,suffix
feraligatr-mega-evolution,feraligatr-mega,feraligatr-mega,suffix
skarmory-mega-evolution,skarmory-mega,skarmory-mega,suffix
froslass-mega-evolution,froslass-mega,froslass-mega,suffix
emboar-mega-evolution,emboar-mega,emboar-mega,suffix
excadrill-mega-evolution,excadrill-mega,excadrill-mega,suffix
scolipede-mega-evolution,scolipede-mega,scolipede-mega,suffix
scrafty-mega-evolution,scrafty-mega,scrafty-mega,suffix
eelektross-mega-evolution,eelektross-mega,eelektross-mega,suffix
chandelure-mega-evolution,chandelure-mega,chandelure-mega,suffix
chesnaught-mega-evolution,chesnaught-mega,chesnaught-mega,suffix
delphox-mega-evolution,delphox-mega,delphox-mega,suffix
greninja-mega-evolution,greninja-mega,greninja-mega,suffix
pyroar-mega-evolution,pyroar-mega,pyroar-mega,suffix
floette-mega-evolution,floette-mega,floette-mega,suffix
malamar-mega-evolution,malamar-mega,malamar-mega,suffix
barbaracle-mega-evolution,barbaracle-mega,barbaracle-mega,suffix
dragalge-mega-evolution,dragalge-mega,dragalge-mega,suffix
hawlucha-mega-evolution,hawlucha-mega,hawlucha-mega,suffix
zygarde-mega-evolution,zygarde-mega,zygarde-mega,suffix
drampa-mega-evolution,drampa-mega,drampa-mega,suffix
falinks-mega-evolution,falinks-mega,falinks-mega,suffix
pikachu-alola-cap,pikachu-alola-cap,pikachu-alola-cap,suffix
pikachu-hoenn-cap,pikachu-hoenn-cap,pikachu-hoenn-cap,suffix
pikachu-original-cap,pikachu-original-cap,pikachu-original-cap,suffix
pikachu-partner-cap,pikachu-partner-cap,pikachu-partner-cap,suffix
pikachu-sinnoh-cap,pikachu-sinnoh-cap,pikachu-sinnoh-cap,suffix
pikachu-unova-cap,pikachu-unova-cap,pikachu-unova-cap,suffix
pikachu-world-cap,pikachu-world-cap,pikachu-world-cap,suffix
pikachu-kalos-cap,pikachu-kalos-cap,pikachu-kalos-cap,suffix
raichu-mega-evolution-x,raichu-mega-x,raichu-mega-x,suffix
raichu-mega-evolution-y,raichu-mega-y,raichu-mega-y,suffix
chimecho-mega-evolution,chimecho-mega,chimecho-mega,suffix
absol-mega-evolution-z,absol-mega-z,absol-mega-z,suffix
staraptor-mega-evolution,staraptor-mega,staraptor-mega,suffix
garchomp-mega-evolution-z,garchomp-mega-z,garchomp-mega-z,suffix
lucario-mega-evolution-z,lucario-mega-z,lucario-mega-z,suffix
heatran-mega-evolution,heatran-mega,heatran-mega,suffix
darkrai-mega-evolution,darkrai-mega,darkrai-mega,suffix
golurk-mega-evolution,golurk-mega,golurk-mega,suffix
meowstic-mega-evolution,meowstic-male-mega,meowstic-male-mega,hand
crabominable-mega-evolution,crabominable-mega,crabominable-mega,suffix
golisopod-mega-evolution,golisopod-mega,golisopod-mega,suffix
magearna-mega-evolution,magearna-mega,magearna-mega,suffix
magearna-mega-evolution-origin-color,magearna-original-mega,magearna-original-mega,hand
zeraora-mega-evolution,zeraora-mega,zeraora-mega,suffix
scovillain-mega-evolution,scovillain-mega,scovillain-mega,suffix
glimmora-mega-evolution,glimmora-mega,glimmora-mega,suffix
tatsugiri-mega-evolution-curly,tatsugiri-curly-mega,tatsugiri-curly-mega,hand
tatsugiri-mega-evolution-droopy,tatsugiri-droopy-mega,tatsugiri-droopy-mega,hand
tatsugiri-mega-evolution-stretchy,tatsugiri-stretchy-mega,tatsugiri-stretchy-mega,hand
baxcalibur-mega-evolution,baxcalibur-mega,baxcalibur-mega,suffix
reshiram-activated,reshiram-activated,reshiram-activated,pokedb-only
zekrom-activated,zekrom-activated,zekrom-activated,pokedb-only
kyurem-white-activated,kyurem-white-activated,kyurem-white-activated,pokedb-only
kyurem-black-activated,kyurem-black-activated,kyurem-black-activated,pokedb-only
